ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,TipoMuestra,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P231_N,P231_NOM,P231_COD,P233_1,P233_2,P233_3,OMICAP200_02
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00009,1,,Muestral,Completa,COSTA,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Otros,00
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00050,6,,Muestral,Completa,COSTA,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00063,7,,Muestral,Completa,COSTA,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00064,8,,Muestral,Completa,COSTA,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00074,9,,Muestral,Completa,COSTA,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00076,10,,Muestral,Completa,COSTA,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00086,11,,Muestral,Completa,COSTA,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00096,12,,Muestral,Completa,COSTA,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00012,3,,Muestral,Completa,COSTA,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00072,9,,Muestral,Completa,COSTA,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
