ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,TipoMuestra,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P410AA,P410AB,P410AE,OMICAP400A
2014.0,24,TUMBES,01,TUMBES,02,CORRALES,00014,00051,1,GRANJAS AVÍCOLAS,Muestral,Completa,COSTA,,5.5106383,Grandes productores/as agropecuarios/as,pase,Pecuaria,Pase,Pase,Pase,Pase,Granja avícola?,granja avícola de pavos de engorde,1.0,Red pública,00
2014.0,24,TUMBES,01,TUMBES,02,CORRALES,00014,00051,1,GRANJAS AVÍCOLAS,Muestral,Completa,COSTA,,5.5106383,Grandes productores/as agropecuarios/as,pase,Pecuaria,Pase,Pase,Pase,Pase,Granja avícola?,Granja avícola de pollo de engorde,3.0,Red pública,00
2014.0,20,PIURA,05,PAITA,06,TAMARINDO,00081,00002,1,GRANJAS Y ESTABLOS,Muestral,Completa,COSTA,,4.6491935,Grandes productores/as agropecuarios/as,pase,Pecuaria,Pase,Centro de engorde vacuno?,Pase,Pase,Pase,Centro de engorde vacuno,10.0,Río/riachuelo,00
2014.0,20,PIURA,05,PAITA,06,TAMARINDO,00081,00002,1,GRANJAS Y ESTABLOS,Muestral,Completa,COSTA,,4.6491935,Grandes productores/as agropecuarios/as,pase,Pecuaria,Pase,Pase,Granja porcina?,Pase,Pase,Granja porcina,15.0,Río/riachuelo,00
2014.0,20,PIURA,05,PAITA,04,COLAN,00101,00073,1,GRANJAS Y ESTABLOS,Muestral,Completa,COSTA,,4.6491935,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,Establo lechero?,Pase,Pase,Pase,Pase,Establo lechero,2.0,Red pública,00
2014.0,20,PIURA,05,PAITA,04,COLAN,00110,00085,2,GRANJAS AVÍCOLAS,Muestral,Completa,COSTA,,5.5106383,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,Pase,Pase,Pase,Pase,Granja avícola?,Granja avícola de pollo de engorde,72.0,Cisterna,00
2014.0,20,PIURA,05,PAITA,04,COLAN,00110,00089,3,GRANJAS AVÍCOLAS,Muestral,Completa,COSTA,,5.5106383,Grandes productores/as agropecuarios/as,pase,Pecuaria,Pase,Pase,Pase,Pase,Granja avícola?,Granja avícola de pollo de engorde,65.0,Cisterna,00
2014.0,20,PIURA,06,SULLANA,01,SULLANA,00238,00118,4,GRANJAS AVÍCOLAS,Muestral,Completa,COSTA,,5.5106383,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,Establo lechero?,Centro de engorde vacuno?,Pase,Pase,Pase,Establo lechero,4.0,Red pública,00
2014.0,20,PIURA,06,SULLANA,01,SULLANA,00238,00118,4,GRANJAS AVÍCOLAS,Muestral,Completa,COSTA,,5.5106383,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,Establo lechero?,Centro de engorde vacuno?,Pase,Pase,Pase,Centro de engorde vacuno,2.0,Red pública,00
2014.0,20,PIURA,06,SULLANA,01,SULLANA,00238,00118,4,GRANJAS AVÍCOLAS,Muestral,Completa,COSTA,,5.5106383,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,Pase,Pase,Granja porcina?,Pase,Pase,Granja porcina,3.0,Red pública,00
