ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,TipoMuestra,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P419_N,P419_NOM,P419_COD,P421_1,P421_2,P421_3
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00203,1,EMPRESAS,Muestral,Completa,COSTA,,5.7039711,Grandes productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,0.0,0.0
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00203,1,EMPRESAS,Muestral,Completa,COSTA,,5.7039711,Grandes productores/as agropecuarios/as,Agricola,Pecuaria,2.0,YOGURT,4213.0,Venta,0.0,0.0
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00044,5,,Muestral,Completa,COSTA,COSTA NORTE,12.5,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00089,10,,Muestral,Completa,COSTA,COSTA NORTE,12.5,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00025,4,,Muestral,Completa,COSTA,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,OTROS DERIVADOS PECUARIOS,8888.0,0.0,Consumo del hogar,Otros
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00010,1,,Muestral,Completa,COSTA,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,NATILLA,8888.0,Venta,Consumo del hogar,0.0
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00027,4,,Muestral,Completa,COSTA,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,Otros
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00048,6,,Muestral,Completa,COSTA,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00092,10,,Muestral,Completa,COSTA,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Tumbes,TUMBES,01,TUMBES,03,LA CRUZ,00007,00080,11,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
