UBIGEO,ANIO,CCDD,NOMBREDD,CCPP,NOMBREPP,CCDI,NOMBREDI,CONGLOME,REGION,CODIGO,ZONA,X,Y,LONGITUD,LATITUD,ALTITUD
060201,2015.0,06,CAJAMARCA,02,CAJABAMBA,01,CAJABAMBA,05017,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,827309.0,9155675.0,-78.0337535597,-7.628237615,2847.0
060202,2015.0,06,CAJAMARCA,02,CAJABAMBA,02,CACHACHI,04929,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,798853.0,9149117.0,-78.2910588936,-7.68918761892,4008.0
060202,2015.0,06,CAJAMARCA,02,CAJABAMBA,02,CACHACHI,04922,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,803778.0,9157127.0,-78.2469168098,-7.61653035085,2842.0
060202,2015.0,06,CAJAMARCA,02,CAJABAMBA,02,CACHACHI,04904,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,814326.0,9158194.0,-78.1514674704,-7.60627317708,2215.0
060202,2015.0,06,CAJAMARCA,02,CAJABAMBA,02,CACHACHI,04892,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,797842.0,9162432.0,-78.3009726406,-7.56893444644,3462.0
060203,2015.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04946,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,815259.0,9168174.0,-78.143609395,-7.51605673099,2060.0
060907,2015.0,06,CAJAMARCA,09,SAN IGNACIO,07,TABACONAS,02013,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,699166.0,9415314.0,-79.2028386298,-5.287079296,1872.0
060907,2015.0,06,CAJAMARCA,09,SAN IGNACIO,07,TABACONAS,02005,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,701944.0,9417552.0,-79.1778440532,-5.26677203503,1811.0
061304,2015.0,06,CAJAMARCA,13,SANTA CRUZ,04,CHANCAYBAÐOS,03480,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,728147.0,9276965.0,-78.9368082099,-6.53700661165,1918.0
061005,2015.0,06,CAJAMARCA,10,SAN MARCOS,05,ICHOCAN,04822,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,816295.0,9184466.0,-78.1351907998,-7.36880375584,2531.0
061006,2015.0,06,CAJAMARCA,10,SAN MARCOS,06,JOSE MANUEL QUIROZ,04763,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,828094.0,9186857.0,-78.028553787,-7.34651213361,3611.0
061007,2015.0,06,CAJAMARCA,10,SAN MARCOS,07,JOSE SABOGAL,04739,SIERRA,Pequeños y medianos productores/as agropecuarios/as,18,176852.0,9192844.0,-77.9263342918,-7.29271249146,2180.0
061007,2015.0,06,CAJAMARCA,10,SAN MARCOS,07,JOSE SABOGAL,04720,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,827628.0,9204241.0,-78.0338099517,-7.18949677708,3310.0
061204,2015.0,06,CAJAMARCA,12,SAN PABLO,04,TUMBADEN,03750,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,756796.0,9233337.0,-78.6759914985,-6.93021565252,3506.0
061201,2015.0,06,CAJAMARCA,12,SAN PABLO,01,SAN PABLO,03778,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,746025.0,9211610.0,-78.7724839832,-7.12707446043,2779.0
061202,2015.0,06,CAJAMARCA,12,SAN PABLO,02,SAN BERNARDINO,03787,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,745010.0,9206624.0,-78.7814530684,-7.17218943046,1974.0
060308,2015.0,06,CAJAMARCA,03,CELENDIN,08,OXAMARCA,04661,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,827573.0,9225183.0,-78.0355144,-7.00031617336,2087.0
060306,2015.0,06,CAJAMARCA,03,CELENDIN,06,JOSE GALVEZ,04636,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,816004.0,9236100.0,-78.140715977,-6.90233413161,2743.0
060311,2015.0,06,CAJAMARCA,03,CELENDIN,11,UTCO,04651,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,822574.0,9238355.0,-78.0814506764,-6.88159439037,2204.0
060312,2015.0,06,CAJAMARCA,03,CELENDIN,12,LA LIBERTAD DE PALLAN,04332,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,800756.0,9261223.0,-78.2798535904,-6.67612730291,3258.0
060302,2015.0,06,CAJAMARCA,03,CELENDIN,02,CHUMUCH,04311,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,814006.0,9273638.0,-78.1607521552,-6.56328649609,1443.0
060304,2015.0,06,CAJAMARCA,03,CELENDIN,04,HUASMIN,04461,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,803576.0,9243865.0,-78.2534836438,-6.83282772294,1988.0
060309,2015.0,06,CAJAMARCA,03,CELENDIN,09,SOROCHUCO,04566,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,802242.0,9233845.0,-78.2650259851,-6.9234327823,2740.0
060309,2015.0,06,CAJAMARCA,03,CELENDIN,09,SOROCHUCO,04521,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,799502.0,9237896.0,-78.2900083135,-6.88697050443,3184.0
060601,2015.0,06,CAJAMARCA,06,CUTERVO,01,CUTERVO,02528,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,748519.0,9290607.0,-78.7532226832,-6.41290744383,2622.0
060907,2015.0,06,CAJAMARCA,09,SAN IGNACIO,07,TABACONAS,02021,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,692546.0,9409562.0,-79.2624142112,-5.33925998116,2059.0
060904,2015.0,06,CAJAMARCA,09,SAN IGNACIO,04,LA COIPA,01974,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,727943.0,9406294.0,-78.9430042228,-5.36782598695,1817.0
060904,2015.0,06,CAJAMARCA,09,SAN IGNACIO,04,LA COIPA,01975,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,728386.0,9407453.0,-78.9390449173,-5.35733321509,1598.0
060905,2015.0,06,CAJAMARCA,09,SAN IGNACIO,05,NAMBALLE,01818,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,702449.0,9438900.0,-79.1738383484,-5.07373196731,1860.0
060906,2015.0,06,CAJAMARCA,09,SAN IGNACIO,06,SAN JOS? DE LOURDES,01895,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,741442.0,9432961.0,-78.8220864266,-5.12633167085,1453.0
060906,2015.0,06,CAJAMARCA,09,SAN IGNACIO,06,SAN JOS? DE LOURDES,01889,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,744405.0,9442497.0,-78.7956636806,-5.04003383523,943.0
060901,2015.0,06,CAJAMARCA,09,SAN IGNACIO,01,SAN IGNACIO,01836,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,724973.0,9433650.0,-78.9705973771,-5.12058870944,941.0
060904,2015.0,06,CAJAMARCA,09,SAN IGNACIO,04,LA COIPA,01973,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,728984.0,9403930.0,-78.9335437536,-5.38915938094,2036.0
060903,2015.0,06,CAJAMARCA,09,SAN IGNACIO,03,HUARANGO,01928,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,748542.0,9410445.0,-78.7573503948,-5.32964659782,858.0
061001,2015.0,06,CAJAMARCA,10,SAN MARCOS,01,PEDRO GALVEZ,04796,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,821928.0,9187611.0,-78.0843953495,-7.34006537077,3054.0
060801,2015.0,06,CAJAMARCA,08,JAEN,01,JAEN,02165,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,727670.0,9359867.0,-78.9440091283,-5.78755829771,2513.0
060811,2015.0,06,CAJAMARCA,08,JAEN,11,SAN JOSE DEL ALTO,02089,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,727934.0,9386031.0,-78.9424638686,-5.55101198186,1769.0
060812,2015.0,06,CAJAMARCA,08,JAEN,12,SANTA ROSA,02131,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,771892.0,9400017.0,-78.5464048602,-5.42309086816,1305.0
061306,2015.0,06,CAJAMARCA,13,SANTA CRUZ,06,NINABAMBA,03503,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,745696.0,9264417.0,-78.7776854038,-6.64975796943,2236.0
061305,2015.0,06,CAJAMARCA,13,SANTA CRUZ,05,LA ESPERANZA,03537,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,737876.0,9265995.0,-78.8484406159,-6.63580479146,2131.0
061301,2015.0,06,CAJAMARCA,13,SANTA CRUZ,01,SANTA CRUZ,03552,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,728612.0,9265479.0,-78.9321781827,-6.64082501422,2130.0
061101,2015.0,06,CAJAMARCA,11,SAN MIGUEL,01,SAN MIGUEL,03674,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,736455.0,9226120.0,-78.8596912252,-6.99631910983,2895.0
061101,2015.0,06,CAJAMARCA,11,SAN MIGUEL,01,SAN MIGUEL,03670,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,726804.0,9224216.0,-78.946931907,-7.01392145204,3680.0
061106,2015.0,06,CAJAMARCA,11,SAN MIGUEL,06,LA FLORIDA,03606,COSTA,Pequeños y medianos productores/as agropecuarios/as,17,709507.0,9238898.0,-79.1039776713,-6.88183784878,1462.0
061107,2015.0,06,CAJAMARCA,11,SAN MIGUEL,07,LLAPA,03650,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,741137.0,9228127.0,-78.8174197432,-6.97797879811,3060.0
061111,2015.0,06,CAJAMARCA,11,SAN MIGUEL,11,SAN SILVESTRE DE COCHAN,03662,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,747136.0,9228434.0,-78.7631595365,-6.97494860181,3118.0
061102,2015.0,06,CAJAMARCA,11,SAN MIGUEL,02,BOLIVAR,03729,COSTA,Pequeños y medianos productores/as agropecuarios/as,17,706970.0,9229770.0,-79.1266060315,-6.96445311624,1809.0
060501,2015.0,06,CAJAMARCA,05,CONTUMAZA,01,CONTUMAZA,03818,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,754175.0,9188712.0,-78.6976835106,-7.33367583627,3112.0
060508,2015.0,06,CAJAMARCA,05,CONTUMAZA,08,YONAN,03803,COSTA,Pequeños y medianos productores/as agropecuarios/as,17,684791.0,9188924.0,-79.3259513343,-7.33454233485,271.0
060508,2015.0,06,CAJAMARCA,05,CONTUMAZA,08,YONAN,03799,COSTA,Pequeños y medianos productores/as agropecuarios/as,17,698109.0,9189937.0,-79.2053826599,-7.32491559693,954.0
060702,2015.0,06,CAJAMARCA,07,HUALGAYOC,02,CHUGUR,03071,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,749249.0,9262358.0,-78.7454740285,-6.66822049975,2639.0
060702,2015.0,06,CAJAMARCA,07,HUALGAYOC,02,CHUGUR,03067,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,747980.0,9263177.0,-78.7569866839,-6.66087653546,2352.0
