ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,Dominio,FACTOR,CODIGO,P102_1,P102_2,P224A_N,P224B_NOM,P224B_COD,P224B_TIPO,P224C_MES,P224C_ANIO,P224D_SUP_1,P224D_SUP_2,P224E_1,P224E_2,P224E_3,P224E_4,P224E_5,P224E_6,P224E_7,P224E_8,OMICAP200_00
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00010,0001,,Completa,Costa,COSTA NORTE,16.3571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MANGO,1147.0,2.0,5,2000.0,0.0,050,pase,pase,Fue afectada por plagas y/o enfermedades,pase,pase,pase,Fue afectada por sequía,pase,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00010,0001,,Completa,Costa,COSTA NORTE,16.3571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,NARANJO,1156.0,2.0,5,2000.0,0.0,020,pase,pase,pase,pase,pase,pase,Fue afectada por sequía,pase,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00010,0001,,Completa,Costa,COSTA NORTE,16.3571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MANDARINA,1146.0,2.0,3,2006.0,0.0,010,pase,pase,pase,pase,pase,pase,Fue afectada por sequía,pase,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00010,0001,,Completa,Costa,COSTA NORTE,16.3571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,TAMARINDO,1179.0,2.0,1,1990.0,0.0,010,pase,pase,pase,pase,pase,pase,Fue afectada por sequía,pase,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00010,0001,,Completa,Costa,COSTA NORTE,16.3571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,GUAYABO,1134.0,2.0,3,2002.0,0.0,010,pase,pase,Fue afectada por plagas y/o enfermedades,pase,pase,pase,Fue afectada por sequía,pase,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00026,0002,,Completa,Costa,COSTA NORTE,16.3571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MANGO,1147.0,2.0,1,1995.0,0.0,050,pase,pase,pase,pase,pase,pase,Fue afectada por sequía,pase,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00026,0002,,Completa,Costa,COSTA NORTE,16.3571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,CIROLERO,1124.0,2.0,7,2000.0,0.0,010,pase,pase,Fue afectada por plagas y/o enfermedades,pase,pase,pase,pase,pase,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00144,0009,,Completa,Costa,COSTA NORTE,16.3571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,COCOTERO,1128.0,2.0,3,1990.0,0.0,025,pase,pase,pase,pase,Otro,pase,pase,pase,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00144,0009,,Completa,Costa,COSTA NORTE,16.3571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,TAMARINDO,1179.0,2.0,12,1984.0,0.0,010,pase,pase,Fue afectada por plagas y/o enfermedades,pase,pase,pase,Fue afectada por sequía,pase,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00040,0004,,Completa,Costa,COSTA NORTE,15.4285714286,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,CACAO,1202.0,3.0,5,2000.0,0.0,025,pase,pase,Fue afectada por plagas y/o enfermedades,pase,pase,pase,pase,pase,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00040,0004,,Completa,Costa,COSTA NORTE,15.4285714286,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,CHIRIMOYO,1121.0,2.0,4,2001.0,0.0,010,pase,pase,Fue afectada por plagas y/o enfermedades,pase,pase,pase,pase,pase,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00040,0004,,Completa,Costa,COSTA NORTE,15.4285714286,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,GUANABANO,1133.0,2.0,4,2001.0,0.0,020,pase,pase,Fue afectada por plagas y/o enfermedades,pase,pase,pase,pase,pase,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00009,00125,0014,,Completa,Costa,COSTA NORTE,8.8571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,PAPAYA,1163.0,2.0,9,2014.0,0.0,036,pase,pase,Fue afectada por plagas y/o enfermedades,pase,pase,pase,pase,pase,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00019,0001,GRANJAS Y ESTABLOS,Completa,Costa,,5.1619,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,2.0,MAIZ AMARILLO DURO,2107.0,1.0,1,2015.0,5.0,000,pase,pase,Fue afectada por plagas y/o enfermedades,pase,pase,,,,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00021,0003,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,3.0,PIMIENTO,2335.0,1.0,2,2015.0,0.0,200,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,pase,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00021,0003,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,3.0,FRIJOL CAUPI,2911.0,1.0,2,2015.0,0.0,200,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,pase,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00023,0004,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,4.0,ARROZ CASCARA,2101.0,1.0,1,2015.0,0.0,300,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,pase,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00025,0005,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,1.0,MAIZ CHOCLO,2109.0,1.0,2,2015.0,0.0,500,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,pase,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00052,0009,,Incompleta,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,2.0,ARROZ CASCARA,2101.0,1.0,1,2015.0,0.0,500,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,pase,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00088,0014,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,3.0,CAMOTE,2603.0,1.0,12,2014.0,0.0,300,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,pase,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00088,0014,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,3.0,PIMIENTO,2335.0,1.0,1,2015.0,0.0,100,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,pase,
