ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,Dominio,FACTOR,CODIGO,P102_1,P102_2,P229C,P204_NOM_200C,P204_COD_200C,P229C_NOM,P229C_COD,P229D_CANT_ENT,P229D_CANT_DEC,P229D_UM,P229D_UM_COD,P229_EQUIV,P229E_1_CANT_ENT,P229E_1_CANT_DEC,P229E_PREC_ENT,P229E_PREC_DEC,P229E_VAL,P229E_2_ENT,P229E_2_DEC,P229E_3_ENT,P229E_3_DEC,OMICAP200_02
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00019,0001,GRANJAS Y ESTABLOS,Completa,Costa,,5.1619,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,CACAO,1202.0,TABLETAS DE CHOCOLATE,4135.0,50.0,000,UNIDAD,24.0,0.8,0.0,000,,,,,,50.0,000,
2015.0,24,TUMBES,01,TUMBES,01,TUMBES,00024,00075,0010,,Completa,Costa,COSTA NORTE,8.6719457014,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,1.0,CACAO,1202.0,BOLITAS DE CHOCOLATE,8888.0,2.0,000,KILO,12.0,1.0,0.0,000,,,,2.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00030,00064,0010,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,1.0,CACAO,1202.0,BOLITAS DE CHOCOLATE,8888.0,10.0,000,UNIDAD,24.0,0.15,0.0,000,,,,5.0,000,5.0,000,
2015.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00005,0001,,Completa,Costa,COSTA NORTE,9.4285714286,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,CACAO,1202.0,BOLITAS DE CHOCOLATE,8888.0,6.0,000,UNIDAD,24.0,0.1,0.0,000,,,,6.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00019,0002,,Completa,Costa,COSTA NORTE,9.4285714286,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,CACAO,1202.0,BOLITAS DE CHOCOLATE,8888.0,7.0,000,UNIDAD,24.0,0.1,0.0,000,,,,5.0,000,2.0,000,
2015.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00040,0004,,Completa,Costa,COSTA NORTE,9.4285714286,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,1.0,CACAO,1202.0,BOLITAS DE CHOCOLATE,8888.0,30.0,000,UNIDAD,24.0,0.1,0.0,000,,,,15.0,000,15.0,000,
2015.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00047,0009,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,CACAO,1202.0,BOLITAS DE CHOCOLATE,8888.0,3.0,000,UNIDAD,24.0,0.25,0.0,000,,,,3.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00053,0010,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,1.0,CACAO,1202.0,BOLITAS DE CHOCOLATE,8888.0,8.0,000,UNIDAD,24.0,0.1,0.0,000,,,,8.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00040,00011,0003,,Completa,Costa,COSTA NORTE,8.9285714286,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,1.0,CACAO,1202.0,BOLITAS DE CHOCOLATE,8888.0,24.0,000,UNIDAD,24.0,0.2,0.0,000,,,,12.0,000,12.0,000,
2015.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00049,00042,0006,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,1.0,CACAO,1202.0,BOLITAS DE CHOCOLATE,8888.0,80.0,000,UNIDAD,24.0,0.1,0.0,000,,,,50.0,000,30.0,000,
2015.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00049,00106,0014,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,CACAO,1202.0,BOLITAS DE CHOCOLATE,8888.0,200.0,000,UNIDAD,24.0,0.1,0.0,000,,,,80.0,000,120.0,000,
