ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,Dominio,FACTOR,CODIGO,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00010,0001,,Completa,Costa,COSTA NORTE,16.3571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,20.0,000,CARGA,9.0,5.0,0.0,000,,,,20.0,000,0.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00144,0009,,Completa,Costa,COSTA NORTE,16.3571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,50.0,000,CARGA,9.0,3.0,10.0,000,5.0,000,50.0,40.0,000,0.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00001,0001,,Completa,Costa,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,TARALLA,8888.0,400.0,000,TERCIO,20.0,20.0,200.0,000,5.0,000,1000.0,100.0,000,100.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00014,0003,,Completa,Costa,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,TARALLA,8888.0,50.0,000,TERCIO,20.0,20.0,50.0,000,100.0,000,5000.0,0.0,000,0.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00058,0008,,Completa,Costa,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,40.0,000,TERCIO,20.0,20.0,0.0,000,,,,34.0,000,6.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00120,0014,,Completa,Costa,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,TARALLA,8888.0,40.0,000,TERCIO,20.0,20.0,0.0,000,,,,40.0,000,0.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00042,0004,,Completa,Costa,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,200.0,000,TERCIO,20.0,20.0,200.0,000,1.0,000,200.0,0.0,000,0.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00009,0001,,Completa,Costa,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,200.0,000,ATADO,2.0,40.0,0.0,000,,,,200.0,000,0.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00020,0002,,Completa,Costa,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,200.0,000,ATADO,2.0,40.0,0.0,000,,,,200.0,000,0.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00047,0006,,Completa,Costa,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,800.0,000,ATADO,2.0,40.0,0.0,000,,,,800.0,000,0.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00058,0007,,Completa,Costa,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,300.0,000,ATADO,2.0,18.0,0.0,000,,,,300.0,000,0.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00104,0011,,Completa,Costa,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,50.0,000,ATADO,2.0,23.0,0.0,000,,,,50.0,000,0.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00021,0002,,Completa,Costa,COSTA NORTE,15.4285714286,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,2500.0,000,KILO,12.0,1.0,0.0,000,,,,2500.0,000,0.0,000,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00168,0012,,Completa,Costa,COSTA NORTE,15.4285714286,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,3000.0,000,KILO,12.0,1.0,0.0,000,,,,3000.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00009,00125,0014,,Completa,Costa,COSTA NORTE,8.8571428571,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,15.0,000,TERCIO,20.0,40.0,0.0,000,,,,15.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00019,0001,GRANJAS Y ESTABLOS,Completa,Costa,,5.1619,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,3200.0,000,KILO,12.0,1.0,0.0,000,,,,1500.0,000,1700.0,000,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00023,0004,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,280.0,000,TERCIO,20.0,60.0,280.0,000,2.0,000,560.0,0.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00025,0005,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,140.0,000,TERCIO,20.0,50.0,100.0,000,3.0,000,300.0,0.0,000,40.0,000,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00088,0014,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,80.0,000,TERCIO,20.0,60.0,0.0,000,,,,0.0,000,80.0,000,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00019,00044,0007,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,pase,1.0,MAIZ CHOCLO,2109.0,PANCA DE CHOCLO,4129.0,30.0,000,TERCIO,20.0,50.0,0.0,000,,,,30.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00020,00080,0012,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ AMARILLO DURO,2107.0,PANCA DE CHOCLO,4129.0,100.0,000,KILO,12.0,1.0,0.0,000,,,,100.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00020,00080,0012,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,2.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1500.0,000,KILO,12.0,1.0,0.0,000,,,,1500.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,00033,0005,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,20.0,000,CARGA,9.0,30.0,10.0,000,5.0,000,50.0,0.0,000,10.0,000,
2015.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00001,0001,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1.0,000,LOTE,37.0,5000.0,1.0,000,150.0,000,150.0,0.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00015,0003,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,4.0,000,TONELADA,22.0,1000.0,4.0,000,20.0,000,80.0,0.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00023,0004,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,60.0,000,CARGA,9.0,20.0,0.0,000,,,,50.0,000,10.0,000,
2015.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00023,0004,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,2.0,CAMOTE,2603.0,HOJA DE CAMOTE,4120.0,10.0,000,CARGA,9.0,20.0,0.0,000,,,,10.0,000,0.0,000,
2015.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00061,0011,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,100.0,000,CARGA,9.0,100.0,0.0,000,,,,100.0,000,0.0,000,
