ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,Dominio,FACTOR,CODIGO,P102_1,P102_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AE,OMICAP400_02
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00019,0001,GRANJAS Y ESTABLOS,Completa,COSTA,,5.1619,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,Establo lechero?,pase,pase,pase,pase,pase,Establo lechero,1.0,0.0,0.0,12,100.0,Manual?,Pozo,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00019,0001,GRANJAS Y ESTABLOS,Completa,COSTA,,5.1619,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,pase,pase,Granja porcina?,pase,pase,pase,Granja porcina,1.0,0.0,0.0,03,15.0,Manual?,Pozo,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00019,0001,GRANJAS Y ESTABLOS,Completa,COSTA,,5.1619,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,pase,pase,pase,pase,Granja avícola?,pase,Granja avícola de pollo de engorde,0.0,2.0,0.0,06,5000.0,Manual?,Pozo,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00019,0001,GRANJAS Y ESTABLOS,Completa,COSTA,,5.1619,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,pase,pase,pase,pase,Granja avícola?,pase,Granja avícola de gallina de postura,2.0,0.0,0.0,06,2500.0,Manual?,Pozo,
2015.0,20,PIURA,05,PAITA,05,LA HUACA,00094,00024,0003,EMPRESAS,Completa,COSTA,,7.59898,Grandes productores/as agropecuarios/as,pase,Pecuaria,pase,pase,Granja porcina?,pase,pase,pase,Granja porcina,1.0,0.0,0.0,20,50.0,Manual?,Red pública,
2015.0,20,PIURA,05,PAITA,04,COLAN,00110,00085,0001,GRANJAS AVÍCOLAS,Completa,COSTA,,1.01456,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,pase,pase,pase,pase,Granja avícola?,pase,Granja avícola de pollo de engorde,18.0,0.0,7.0,20,540000.0,Manual?,Cisterna,
2015.0,20,PIURA,05,PAITA,04,COLAN,00110,00089,0002,GRANJAS AVÍCOLAS,Completa,COSTA,,1.01456,Grandes productores/as agropecuarios/as,pase,Pecuaria,pase,pase,pase,pase,Granja avícola?,pase,Granja avícola de pollo de engorde,16.0,0.0,6.0,40,480000.0,Manual?,Cisterna,
2015.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00135,00106,0002,EMPRESAS,Completa,COSTA,,7.59898,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,pase,pase,Granja porcina?,pase,pase,pase,Granja porcina,12.0,0.0,5.0,90,200.0,Manual?,Red pública,
2015.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00135,00106,0002,EMPRESAS,Completa,COSTA,,7.59898,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,pase,pase,pase,pase,Granja avícola?,pase,Granja avícola de gallina de postura,1.0,0.0,0.0,05,200.0,Manual?,Red pública,
2015.0,20,PIURA,06,SULLANA,01,SULLANA,00240,00054,0008,GRANJAS Y ESTABLOS,Completa,COSTA,,1.02609,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,pase,Centro de engorde vacuno?,pase,pase,pase,pase,Centro de engorde vacuno,23.0,22.0,2.0,00,2000.0,Manual?,Otro,
2015.0,20,PIURA,06,SULLANA,01,SULLANA,00240,00055,0009,GRANJAS AVÍCOLAS,Completa,COSTA,,6.91429,Grandes productores/as agropecuarios/as,pase,Pecuaria,pase,pase,pase,pase,Granja avícola?,pase,Granja avícola de pollo de engorde,2.0,0.0,0.0,70,5000.0,Manual?,Cisterna,
