ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,Dominio,FACTOR,CODIGO,P102_1,P102_2,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00001,0001,,Completa,Costa,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,25.0,00,UNIDAD,24.0,1.0,0.0,00,,,,15.0,00,10.0,00,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00091,0012,,Completa,Costa,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,5.0,00,UNIDAD,24.0,1.0,0.0,00,,,,5.0,00,0.0,00,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00105,0013,,Completa,Costa,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,12.0,00,UNIDAD,24.0,0.5,0.0,00,,,,6.0,00,6.0,00,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00120,0014,,Completa,Costa,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,10.0,00,UNIDAD,24.0,0.5,0.0,00,,,,5.0,00,5.0,00,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00120,0014,,Completa,Costa,COSTA NORTE,8.5714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,2.0,NATILLA,8888.0,5.0,00,UNIDAD,24.0,0.25,0.0,00,,,,5.0,00,0.0,00,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00030,0003,,Completa,Costa,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,270.0,00,KILO,12.0,1.0,200.0,00,6.0,00,1200.0,60.0,00,10.0,00,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00054,0005,,Completa,Costa,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,30.0,00,KILO,12.0,1.0,25.0,00,6.0,00,150.0,5.0,00,0.0,00,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00077,0008,,Completa,Costa,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,834.0,00,KILO,12.0,1.0,700.0,00,5.0,00,3500.0,100.0,00,34.0,00,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00020,0002,,Completa,Costa,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,210.0,00,UNIDAD,24.0,0.5,160.0,00,6.0,00,960.0,10.0,00,40.0,00,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00038,0005,,Completa,Costa,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,40.0,00,UNIDAD,24.0,0.5,0.0,00,,,,10.0,00,30.0,00,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00111,0008,,Completa,Costa,COSTA NORTE,15.4285714286,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,120.0,00,MOLDE,41.0,0.5,104.0,00,5.0,00,520.0,16.0,00,0.0,00,
2015.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00159,0011,,Completa,Costa,COSTA NORTE,15.4285714286,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,120.0,00,MOLDE,41.0,0.5,115.0,00,5.0,00,575.0,5.0,00,0.0,00,
2015.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00019,0001,GRANJAS Y ESTABLOS,Completa,Costa,,5.1619,Grandes productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,20.0,00,KILO,12.0,1.0,12.0,00,10.0,00,120.0,,,8.0,00,
2015.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00115,0012,,Completa,Costa,COSTA NORTE,9.4285714286,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,2500.0,00,MOLDE,41.0,0.5,2340.0,00,5.0,00,11700.0,150.0,00,10.0,00,
2015.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00115,0012,,Completa,Costa,COSTA NORTE,9.4285714286,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,2.0,QUESILLO,8888.0,400.0,00,MOLDE,41.0,0.3,400.0,00,2.0,00,800.0,0.0,00,0.0,00,
2015.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00057,0011,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,240.0,00,MOLDE,41.0,0.5,200.0,00,6.0,00,1200.0,20.0,00,20.0,00,
2015.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00040,00111,0014,,Completa,Costa,COSTA NORTE,8.9285714286,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,24.0,00,KILO,12.0,1.0,18.0,00,5.0,00,90.0,3.0,00,3.0,00,
2015.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00092,0013,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,68.0,00,MOLDE,41.0,0.4,0.0,00,,,,68.0,00,0.0,00,
2015.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00045,00127,0014,,Completa,Costa,COSTA NORTE,9.7857142857,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,50.0,00,KILO,12.0,1.0,0.0,00,,,,50.0,00,0.0,00,
2015.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00050,00038,0006,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,408.0,00,MOLDE,41.0,0.4,300.0,00,5.0,00,1500.0,100.0,00,8.0,00,
2015.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00052,00004,0001,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,365.0,00,MOLDE,41.0,0.8,300.0,00,7.0,00,2100.0,65.0,00,0.0,00,
2015.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00052,00009,0003,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,90.0,00,MOLDE,41.0,0.5,0.0,00,,,,90.0,00,0.0,00,
2015.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00052,00034,0005,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,60.0,00,MOLDE,41.0,0.5,0.0,00,,,,40.0,00,20.0,00,
2015.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00052,00053,0009,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,60.0,00,MOLDE,41.0,0.5,0.0,00,,,,60.0,00,0.0,00,
2015.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00052,00078,0013,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,30.0,00,MOLDE,41.0,0.5,0.0,00,,,,30.0,00,0.0,00,
2015.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00052,00088,0014,,Completa,Costa,COSTA NORTE,8.0525210084,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,54.0,00,MOLDE,41.0,0.4,30.0,00,7.0,00,210.0,24.0,00,0.0,00,
2015.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00053,00031,0004,,Completa,Costa,COSTA NORTE,8.6719457014,Pequeños y medianos productores/as agropecuarios/as,Agrícola,Pecuaria,1.0,QUESO,4208.0,25.0,00,KILO,12.0,1.0,0.0,00,,,,25.0,00,0.0,00,
