ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P224A_N,P224B_NOM,P224B_COD,P224B_TIPO,P224C_MES,P224C_ANIO,P224D_SUP_1,P224D_SUP_2,P224E_1,P224E_2,P224E_3,P224E_4,P224E_5,P224E_6,P224E_7,P224F_MES,P224F_ANIO,OMICAP200_00
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00019,00068,10,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,1.0,1,2016.0,0.0,800,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,3,2016.0,
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,00057,8,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agrícola,pase,3.0,ARROZ CASCARA,2101.0,1.0,3,2016.0,0.0,200,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,4,2016.0,
2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00023,00013,3,,Completa,Costa,Costa Norte,8.05252100840336,Pequeños y medianos productores agropecuarios,Agrícola,pase,1.0,MELON,2206.0,1.0,5,2016.0,0.0,200,pase,pase,Fue afectada por plagas y/o enfermedades,pase,pase,pase,pase,7,2016.0,
2016.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00125,14,,Completa,Costa,Costa Norte,9.428571428571429,Pequeños y medianos productores agropecuarios,Agrícola,Pecuaria,1.0,ARROZ CASCARA,2101.0,1.0,12,2015.0,0.0,735,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,3,2016.0,
2016.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00125,14,,Completa,Costa,Costa Norte,9.428571428571429,Pequeños y medianos productores agropecuarios,Agrícola,Pecuaria,2.0,ARROZ CASCARA,2101.0,1.0,12,2015.0,0.0,419,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,3,2016.0,
2016.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00064,10,,Completa,Costa,Costa Norte,8.671945701357467,Pequeños y medianos productores agropecuarios,Agrícola,Pecuaria,1.0,MELON,2206.0,1.0,11,2015.0,0.0,240,pase,pase,Fue afectada por plagas y/o enfermedades,pase,pase,pase,pase,12,2015.0,
2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00034,00001,1,,Completa,Costa,Costa Norte,8.142857142857144,Pequeños y medianos productores agropecuarios,Agrícola,Pecuaria,2.0,ARROZ CASCARA,2101.0,1.0,2,2016.0,0.0,200,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,3,2016.0,
2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00036,00072,14,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agrícola,Pecuaria,1.0,YUCA,2620.0,1.0,8,2015.0,0.0,150,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,2,2016.0,
2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00038,00019,3,,Completa,Costa,Costa Norte,8.05252100840336,Pequeños y medianos productores agropecuarios,Agrícola,Pecuaria,1.0,MAIZ CHOCLO,2109.0,1.0,11,2015.0,0.0,600,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,1,2016.0,
2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00045,00061,8,,Completa,Costa,Costa Norte,9.785714285714286,Pequeños y medianos productores agropecuarios,Agrícola,Pecuaria,1.0,PLATANO,1171.0,3.0,9,2015.0,0.0,900,pase,Fue afectada por inundaciones,pase,pase,pase,pase,pase,3,2016.0,
