ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P229C,P204_NOM_200C,P204_COD_200C,P229C_NOM,P229C_COD,P229D_CANT_ENT,P229D_CANT_DEC,P229D_UM,P229D_UM_COD,P229_EQUIV,P229E_1_CANT_ENT,P229E_1_CANT_DEC,P229E_PREC_ENT,P229E_PREC_DEC,P229E_VAL,P229E_2_ENT,P229E_2_DEC,P229E_3_ENT,P229E_3_DEC,OMICAP200_02
2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00045,00072,9,,Completa,Costa,Costa Norte,9.785714285714286,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,CACAO,1202,TABLETAS DE CHOCOLATE,4135.0,30.0,000,UNIDAD,24.0,0.1,0.0,000,,,,20.0,000,10.0,000,
2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00045,00082,10,,Completa,Costa,Costa Norte,9.785714285714286,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,CACAO,1202,TABLETAS DE CHOCOLATE,4135.0,48.0,000,UNIDAD,24.0,0.1,0.0,000,,,,48.0,000,0.0,000,
2016.0,24,TUMBES,03,ZARUMILLA,01,ZARUMILLA,00055,00054,8,,Completa,Costa,Costa Norte,8.05252100840336,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,CIRUELA AGRIA,1125,VINO,4139.0,20.0,000,LITRO,14.0,1.0,0.0,000,,,,0.0,000,20.0,000,
2016.0,20,PIURA,02,AYABACA,01,AYABACA,00285,00136,12,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ AMILACEO,2108,CHICHA,4107.0,50.0,000,LITRO,14.0,1.0,0.0,000,,,,50.0,000,0.0,000,
2016.0,20,PIURA,02,AYABACA,01,AYABACA,00285,00154,14,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,0.0,500,QUINTAL,18.0,46.0,0.0,250,80.0,00,20.0,0.0,250,0.0,000,
2016.0,20,PIURA,02,AYABACA,01,AYABACA,00327,00004,1,,Completa,Sierra,Sierra Norte,79.02499999999999,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,40.0,000,LIBRA,36.0,0.45,20.0,000,1.0,00,20.0,20.0,000,0.0,000,
2016.0,20,PIURA,02,AYABACA,01,AYABACA,00327,00019,3,,Completa,Sierra,Sierra Norte,79.02499999999999,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,40.0,000,LIBRA,36.0,0.45,20.0,000,1.0,00,20.0,20.0,000,0.0,000,
2016.0,20,PIURA,02,AYABACA,01,AYABACA,00327,00027,4,,Completa,Sierra,Sierra Norte,79.02499999999999,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MANI PARA FRUTA,2204,HARINA DE MANI,8888.0,700.0,000,KILO,12.0,1.0,0.0,000,,,,700.0,000,0.0,000,
2016.0,20,PIURA,02,AYABACA,01,AYABACA,00327,00028,5,,Completa,Sierra,Sierra Norte,79.02499999999999,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,80.0,000,LIBRA,36.0,0.45,70.0,000,1.0,00,70.0,10.0,000,0.0,000,
2016.0,20,PIURA,02,AYABACA,01,AYABACA,00327,00045,7,,Completa,Sierra,Sierra Norte,79.02499999999999,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,60.0,000,LIBRA,36.0,0.45,30.0,000,1.0,00,30.0,30.0,000,0.0,000,
