ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00018,1,,Completa,Costa,Costa Norte,16.357142857142858,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,30.0,000,KILO,12.0,1.0,0.0,000,,,,30.0,000,0.0,000,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00063,4,,Completa,Costa,Costa Norte,16.357142857142858,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,10.0,000,TERCIO,20.0,2.0,0.0,000,,,,10.0,000,0.0,000,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00095,7,,Completa,Costa,Costa Norte,16.357142857142858,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,20.0,000,TERCIO,20.0,20.0,0.0,000,,,,0.0,000,20.0,000,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00006,1,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,480.0,000,TERCIO,20.0,35.0,0.0,000,,,,430.0,000,50.0,000,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00016,2,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105.0,200.0,000,TERCIO,20.0,30.0,0.0,000,,,,150.0,000,50.0,000,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00090,10,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,660.0,000,TERCIO,20.0,35.0,0.0,000,,,,600.0,000,60.0,000,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00121,14,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,150.0,000,TERCIO,20.0,25.0,0.0,000,,,,140.0,000,10.0,000,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00108,11,,Completa,Costa,Costa Norte,9.071428571428571,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,150.0,000,TERCIO,20.0,30.0,100.0,000,2.0,00,200.0,0.0,000,50.0,000,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00054,3,,Completa,Costa,Costa Norte,16.615384615384613,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,200.0,000,TERCIO,20.0,30.0,0.0,000,,,,200.0,000,0.0,000,
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00012,00024,4,,Completa,Costa,Costa Norte,8.671945701357467,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ CHOCLO,2109,PANCA DE CHOCLO,4129.0,1.0,000,LOTE,37.0,1000.0,1.0,000,120.0,00,120.0,0.0,000,0.0,000,
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00047,7,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ CHOCLO,2109,PANCA DE CHOCLO,4129.0,4.0,000,TONELADA,22.0,1000.0,4.0,000,12.0,50,50.0,0.0,000,0.0,000,
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00058,8,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,4000.0,000,KILO,12.0,1.0,2000.0,000,0.0,02,40.0,0.0,000,2000.0,000,
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00016,4,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,6.0,000,CARGA,9.0,60.0,0.0,000,,,,0.0,000,6.0,000,
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00074,13,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,10.0,000,TERCIO,20.0,30.0,0.0,000,,,,0.0,000,10.0,000,
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00019,00012,2,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,400.0,000,KILO,12.0,1.0,0.0,000,,,,400.0,000,0.0,000,
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00019,00045,8,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,120.0,000,KILO,12.0,1.0,120.0,000,0.0,50,60.0,0.0,000,0.0,000,
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00020,00027,6,,Completa,Costa,Costa Norte,8.05252100840336,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,20.0,000,CARGA,9.0,60.0,0.0,000,,,,20.0,000,0.0,000,
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,00003,1,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,40.0,000,TERCIO,20.0,30.0,20.0,000,3.0,00,60.0,3.0,000,17.0,000,
2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,00095,14,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,50.0,000,CARGA,9.0,50.0,25.0,000,3.0,00,75.0,5.0,000,20.0,000,
2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00012,3,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105.0,1.0,000,LOTE,37.0,500.0,1.0,000,15.0,00,15.0,0.0,000,0.0,000,
2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00019,4,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105.0,80.0,000,TERCIO,20.0,40.0,0.0,000,,,,0.0,000,80.0,000,
2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00028,5,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105.0,200.0,000,TERCIO,20.0,30.0,0.0,000,,,,0.0,000,200.0,000,
2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00083,14,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,pase,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,4.0,000,CAMIONADA,8.0,3000.0,0.0,000,,,,0.0,000,4.0,000,
