UBIGEO,ANIO,CCDD,NOMBREDD,CCPP,NOMBREPP,CCDI,NOMBREDI,CONGLOMERADO,REGION,ZONA,X,Y,LONGITUD,LATITUD,ALTITUD
240203,2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,COSTA,17,512169.0,9553346.0,-80.8903716581,-4.04094432874,122.0
240201,2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,COSTA,17,525576.0,9572799.0,-80.7696337059,-3.864929722,256.0
240202,2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,COSTA,17,544050.0,9573085.0,-80.6032449135,-3.86228441098,181.0
240202,2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,COSTA,17,546505.0,9562204.0,-80.5810804946,-3.9607116231,311.0
240202,2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,COSTA,17,534420.0,9562408.0,-80.6899420459,-3.9589100116,339.0
240202,2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,COSTA,17,534074.0,9547302.0,-80.6930070807,-4.09557110365,411.0
240103,2016.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,COSTA,17,548152.0,9594142.0,-80.5663881933,-3.67176615649,132.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00008,COSTA,17,551409.0,9601793.0,-80.5370936738,-3.60253957433,3.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00009,COSTA,17,553311.0,9603283.0,-80.5199750229,-3.58905172617,9.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,COSTA,17,555370.0,9603587.0,-80.5014388321,-3.58628822338,7.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00011,COSTA,17,555042.0,9608389.0,-80.5044208073,-3.54285333167,5.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00012,COSTA,17,557322.0,9607219.0,-80.4838827466,-3.55342439329,6.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00013,COSTA,17,558190.0,9604949.0,-80.4760518066,-3.5739577302,12.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00015,COSTA,17,558363.0,9602229.0,-80.4744813215,-3.59856044644,7.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,COSTA,17,559180.0,9600586.0,-80.4671192016,-3.61341808568,4.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,COSTA,17,560639.0,9601589.0,-80.4539915933,-3.60433723351,6.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00019,COSTA,17,561749.0,9601023.0,-80.4439887957,-3.60945557471,7.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00020,COSTA,17,560718.0,9600275.0,-80.453265934,-3.61622157078,6.0
240102,2016.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,COSTA,17,561376.0,9599784.0,-80.4473460651,-3.62066387917,13.0
240101,2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00023,COSTA,17,558460.0,9610944.0,-80.4736568261,-3.51972033413,7.0
240101,2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00024,COSTA,17,558710.0,9607718.0,-80.4713844609,-3.54889865314,15.0
240101,2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00025,COSTA,17,560797.0,9608325.0,-80.4526040454,-3.54340127531,9.0
240101,2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00026,COSTA,17,565013.0,9609741.0,-80.4146506313,-3.53056985232,4.0
240101,2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,COSTA,17,561638.0,9605112.0,-80.4450101929,-3.5724653223,20.0
240101,2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00028,COSTA,17,561458.0,9602789.0,-80.4466229055,-3.59347850685,29.0
240106,2016.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00030,COSTA,17,563669.0,9600017.0,-80.4266928634,-3.61854410492,21.0
240106,2016.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,COSTA,17,565878.0,9596342.0,-80.4067858356,-3.65177243439,14.0
240106,2016.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,COSTA,17,572770.0,9596269.0,-80.3447300705,-3.65238730768,38.0
240105,2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00034,COSTA,17,561594.0,9598848.0,-80.4453759125,-3.62912589616,9.0
240105,2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00035,COSTA,17,558845.0,9596937.0,-80.4701139976,-3.64643427799,56.0
240105,2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00036,COSTA,17,561730.0,9597274.0,-80.4441388809,-3.64336993546,26.0
240105,2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00037,COSTA,17,562825.0,9597299.0,-80.4342821477,-3.64313353785,11.0
240105,2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00038,COSTA,17,552849.0,9591397.0,-80.5240822864,-3.69658339868,212.0
240105,2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00039,COSTA,17,562301.0,9594538.0,-80.4389842351,-3.66811504541,10.0
240105,2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00040,COSTA,17,556035.0,9589928.0,-80.4953843901,-3.70985034954,140.0
240105,2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00041,COSTA,17,559246.0,9588743.0,-80.4664586276,-3.7205541401,48.0
240105,2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00042,COSTA,17,554897.0,9586340.0,-80.5056099647,-3.74231531889,156.0
240105,2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00043,COSTA,17,555865.0,9582518.0,-80.4968736938,-3.77688603819,111.0
240105,2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,COSTA,17,559405.0,9560898.0,-80.4648735767,-3.97245923369,599.0
240104,2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00045,COSTA,17,564369.0,9593768.0,-80.4203574267,-3.67507142251,54.0
240104,2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00046,COSTA,17,561910.0,9593029.0,-80.4424936936,-3.68176440613,8.0
240104,2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,COSTA,17,561816.0,9591691.0,-80.4433329563,-3.69386944422,12.0
240104,2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00049,COSTA,17,566060.0,9589026.0,-80.4051011401,-3.71795395243,75.0
240104,2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00050,COSTA,17,571097.0,9589485.0,-80.3597475692,-3.71377609368,118.0
240104,2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00051,COSTA,17,575793.0,9570863.0,-80.3173239596,-3.88219973678,641.0
240104,2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00052,COSTA,17,563958.0,9585462.0,-80.4240076338,-3.75020851951,66.0
240104,2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00053,COSTA,17,562592.0,9587026.0,-80.4363211027,-3.73606748818,42.0
240104,2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00054,COSTA,17,563776.0,9572799.0,-80.425577415,-3.86476820265,322.0
240301,2016.0,24,TUMBES,03,ZARUMILLA,01,ZARUMILLA,00055,COSTA,17,577598.0,9617046.0,-80.3013926657,-3.46440305921,7.0
240302,2016.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00056,COSTA,17,583204.0,9615512.0,-80.2509187641,-3.47823986409,8.0
240302,2016.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00057,COSTA,17,585070.0,9612876.0,-80.2340998649,-3.50207587435,11.0
240302,2016.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00058,COSTA,17,586174.0,9611658.0,-80.224147475,-3.5130887336,15.0
240302,2016.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00060,COSTA,17,585975.0,9609763.0,-80.2259270661,-3.53023070752,12.0
240302,2016.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00061,COSTA,17,587395.0,9609256.0,-80.2131407527,-3.53480663349,13.0
240302,2016.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00062,COSTA,17,586699.0,9608082.0,-80.2193996832,-3.54542740101,15.0
240302,2016.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00063,COSTA,17,587563.0,9607863.0,-80.2116183401,-3.54740013228,15.0
240304,2016.0,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,00064,COSTA,17,571785.0,9611755.0,-80.3536927014,-3.51230142896,9.0
240304,2016.0,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,00065,COSTA,17,577343.0,9607661.0,-80.3036271629,-3.54930246164,28.0
240304,2016.0,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,00066,COSTA,17,584722.0,9607665.0,-80.2371905834,-3.54921562063,32.0
240304,2016.0,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,00067,COSTA,17,586240.0,9604321.0,-80.2234996977,-3.57945555304,31.0
240304,2016.0,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,00068,COSTA,17,579943.0,9601640.0,-80.2801788612,-3.60375150078,90.0
240303,2016.0,24,TUMBES,03,ZARUMILLA,03,MATAPALO,00069,COSTA,17,581945.0,9593998.0,-80.26209724,-3.67287138089,102.0
240303,2016.0,24,TUMBES,03,ZARUMILLA,03,MATAPALO,00070,COSTA,17,589109.0,9596990.0,-80.1976144649,-3.6457527481,95.0
240303,2016.0,24,TUMBES,03,ZARUMILLA,03,MATAPALO,00071,COSTA,17,586873.0,9579084.0,-80.2175998006,-3.80774575364,477.0
200701,2016.0,20,PIURA,07,TALARA,01,PARIÐAS,00073,COSTA,17,495166.0,9502730.0,-81.0435716961,-4.49886567752,253.0
200603,2016.0,20,PIURA,06,SULLANA,03,IGNACIO ESCUDERO,00112,COSTA,17,510743.0,9468856.0,-80.9031189426,-4.80531012008,73.0
200603,2016.0,20,PIURA,06,SULLANA,03,IGNACIO ESCUDERO,00117,COSTA,17,512354.0,9463587.0,-80.8885813646,-4.85297289772,23.0
200605,2016.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00141,COSTA,17,529803.0,9462809.0,-80.7312128498,-4.85996514902,33.0
200605,2016.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00143,COSTA,17,528432.0,9459533.0,-80.7435608065,-4.88960560173,22.0
200605,2016.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00145,COSTA,17,525493.0,9461289.0,-80.7700746898,-4.87372809696,28.0
