ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P224A_N,P224B_NOM,P224B_COD,P224B_TIPO,P224C_MES,P224C_ANIO,P224D_SUP_1,P224D_SUP_2,P224E_1,P224E_2,P224E_3,P224E_4,P224E_5,P224E_6,P224E_7,P224F_MES,P224F_ANIO,OMICAP200_00
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00012,2,,Completa,COSTA,Costa Norte,8.928571428571429,1.0,1.0,1.0,1.0,MAIZ CHOCLO,2109.0,Transitorio,11,2016.0,0.0,100,Pase,Pase,Fue afectada por plagas y/o enfermedades,Pase,Pase,Pase,Pase,1,2017.0,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00059,8,,Completa,COSTA,Costa Norte,8.571428571428571,1.0,1.0,1.0,1.0,YUCA,2620.0,Transitorio,12,2016.0,0.0,200,"Fue afectada por huaycos, deslizamientos o derrumbes",Pase,Pase,Pase,Pase,Pase,Pase,1,2017.0,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00059,8,,Completa,COSTA,Costa Norte,8.571428571428571,1.0,1.0,1.0,2.0,LIMON ACIDO,1140.0,Permanente de cosecha continua,12,2016.0,0.0,500,"Fue afectada por huaycos, deslizamientos o derrumbes",Pase,Pase,Pase,Pase,Pase,Pase,1,2017.0,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00059,8,,Completa,COSTA,Costa Norte,8.571428571428571,1.0,1.0,1.0,1.0,MAIZ CHOCLO,2109.0,Transitorio,12,2016.0,0.0,334,"Fue afectada por huaycos, deslizamientos o derrumbes",Pase,Pase,Pase,Pase,Pase,Pase,1,2017.0,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00059,8,,Completa,COSTA,Costa Norte,8.571428571428571,1.0,1.0,1.0,2.0,PLATANO,1171.0,Permanente de cosecha continua,12,2016.0,0.0,500,"Fue afectada por huaycos, deslizamientos o derrumbes",Pase,Pase,Pase,Pase,Pase,Pase,1,2017.0,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00069,9,,Completa,COSTA,Costa Norte,8.571428571428571,1.0,1.0,0.0,1.0,MAIZ CHOCLO,2109.0,Transitorio,12,2016.0,0.0,500,"Fue afectada por huaycos, deslizamientos o derrumbes",Pase,Pase,Pase,Pase,Pase,Pase,1,2017.0,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00069,9,,Completa,COSTA,Costa Norte,8.571428571428571,1.0,1.0,0.0,1.0,YUCA,2620.0,Transitorio,12,2016.0,0.0,450,"Fue afectada por huaycos, deslizamientos o derrumbes",Pase,Pase,Pase,Pase,Pase,Pase,1,2017.0,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00116,14,,Completa,COSTA,Costa Norte,8.571428571428571,1.0,1.0,1.0,1.0,YUCA,2620.0,Transitorio,12,2016.0,0.0,400,Pase,Fue afectada por inundaciones,Pase,Pase,Pase,Pase,Pase,1,2017.0,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00016,2,,Completa,COSTA,Costa Norte,9.769230769230768,1.0,1.0,1.0,1.0,PAPAYA,1163.0,Permanente de cosecha estacional,11,2016.0,0.0,300,Pase,Fue afectada por inundaciones,Pase,Pase,Pase,Pase,Pase,1,2017.0,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00055,5,,Completa,COSTA,Costa Norte,9.769230769230768,1.0,1.0,1.0,2.0,PAPAYA,1163.0,Permanente de cosecha estacional,11,2016.0,0.0,200,Pase,Fue afectada por inundaciones,Pase,Pase,Pase,Pase,Pase,1,2017.0,
