ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AE,OMICAP400_02
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00127,1,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Granja porcina,2.0,0.0,0.0,050,400.0,Manual,Cisterna,
2017.0,24,TUMBES,01,TUMBES,02,CORRALES,00022,00057,2,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Granja porcina,1.0,0.0,0.0,005,50.0,Manual,Río/riachuelo,
2017.0,24,TUMBES,01,TUMBES,02,CORRALES,00022,00061,3,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Granja avícola de pavos de engorde,0.0,1.0,0.0,003,80.0,Manual,Red pública,
2017.0,24,TUMBES,01,TUMBES,02,CORRALES,00022,00061,3,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Granja avícola de gallina de postura,1.0,0.0,0.0,005,200.0,Manual,Red pública,
2017.0,24,TUMBES,01,TUMBES,02,CORRALES,00022,00061,3,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Granja porcina,1.0,0.0,0.0,030,67.0,Manual,Río/riachuelo,
2017.0,24,TUMBES,01,TUMBES,01,TUMBES,00029,00032,1,Persona natural,Completa,COSTA,,3.685990338164252,2.0,Agrícola,Pecuaria,,,,,,,Centro de engorde vacuno,1.0,0.0,0.0,300,200.0,Manual,Río/riachuelo,
2017.0,20,PIURA,05,PAITA,04,COLAN,00110,00085,1,Granja avicola,Completa,COSTA,,1.015748031496063,2.0,Agrícola,Pecuaria,,,,,,,Granja avícola de pollo de engorde,16.0,0.0,4.0,180,432000.0,Manual,Red pública,
2017.0,20,PIURA,05,PAITA,04,COLAN,00110,00089,2,Granja avicola,Completa,COSTA,,1.015748031496063,2.0,pase,Pecuaria,,,,,,,Granja avícola de pollo de engorde,18.0,0.0,25.0,000,2302000.0,Manual,Red pública,
2017.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00137,00075,1,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Establo lechero,3.0,2.0,0.0,250,50.0,Manual,Río/riachuelo,
2017.0,20,PIURA,06,SULLANA,01,SULLANA,00240,00054,6,Granja y Establo,Completa,COSTA,,1.0406504065040652,2.0,Agrícola,Pecuaria,,,,,,,Centro de engorde vacuno,45.0,0.0,1.0,500,2500.0,Manual,Red pública,
2017.0,20,PIURA,04,MORROPON,06,SALITRAL,00929,00100,1,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Granja porcina,12.0,0.0,0.0,060,70.0,Manual,Red pública,
2017.0,20,PIURA,01,PIURA,14,TAMBO GRANDE,00973,00053,1,Persona natural,Completa,COSTA,,3.685990338164252,2.0,Agrícola,Pecuaria,,,,,,,Granja porcina,4.0,4.0,0.0,004,15.0,Manual,Río/riachuelo,
2017.0,20,PIURA,01,PIURA,01,PIURA,01045,00076,7,Granja avicola,Completa,COSTA,,1.015748031496063,2.0,pase,Pecuaria,,,,,,,Granja avícola de pollo de engorde,77.0,0.0,330.0,803,1134000.0,Automatico?,Pozo,
2017.0,20,PIURA,01,PIURA,01,PIURA,01051,00071,8,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Granja porcina,8.0,0.0,0.0,010,80.0,Manual,Pozo,
2017.0,20,PIURA,01,PIURA,01,PIURA,01051,00071,8,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Establo lechero,5.0,1.0,0.0,050,100.0,Manual,Pozo,
2017.0,20,PIURA,01,PIURA,05,CATACAOS,01052,00123,1,Granja avicola,Completa,COSTA,,1.015748031496063,2.0,pase,Pecuaria,,,,,,,Granja avícola de gallina de postura,11.0,2.0,1.0,872,180000.0,Automatico?,Pozo,
2017.0,14,LAMBAYEQUE,03,LAMBAYEQUE,06,MORROPE,01514,00018,2,Granja avicola,Completa,COSTA,,4.223076923076923,2.0,pase,Pecuaria,,,,,,,Granja avícola de reproductores padres de postura,1.0,2.0,0.0,200,11200.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,03,LAMBAYEQUE,06,MORROPE,01516,00088,3,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Granja porcina,4.0,3.0,0.0,852,2840.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,03,LAMBAYEQUE,01,LAMBAYEQUE,01572,00050,1,Granja avicola,Completa,COSTA,,4.223076923076923,2.0,pase,Pecuaria,,,,,,,Granja avícola de gallina de postura,3.0,4.0,0.0,500,47000.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,02,FERREÑAFE,05,PITIPO,01661,00119,1,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Centro de engorde vacuno,1.0,0.0,0.0,100,120.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,20,TUMAN,01696,00115,1,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Establo lechero,3.0,0.0,0.0,012,8.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,20,TUMAN,01696,00117,2,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Granja porcina,19.0,0.0,0.0,050,179.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,20,TUMAN,01696,00117,2,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Establo lechero,4.0,0.0,0.0,300,114.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,20,TUMAN,01696,00119,3,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Establo lechero,4.0,0.0,0.0,140,77.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,13,REQUE,01753,00149,2,Granja avicola,Completa,COSTA,,4.223076923076923,2.0,pase,Pecuaria,,,,,,,Granja avícola de gallina de postura,4.0,0.0,8.0,000,50000.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,13,REQUE,01758,00047,3,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Granja porcina,5.0,5.0,0.0,500,39.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00001,1,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Establo lechero,4.0,0.0,0.0,100,31.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00002,2,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Establo lechero,2.0,0.0,0.0,100,8.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00004,3,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Granja de cuyes,1.0,0.0,0.0,050,300.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00004,3,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Establo lechero,3.0,0.0,0.0,020,10.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00004,3,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Granja porcina,5.0,0.0,0.0,020,60.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00009,4,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Establo lechero,11.0,1.0,0.0,400,120.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00013,5,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Establo lechero,1.0,1.0,0.0,400,18.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00018,6,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Establo lechero,3.0,0.0,0.0,600,95.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00019,7,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Establo lechero,3.0,0.0,0.0,080,9.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00021,8,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Establo lechero,8.0,0.0,0.0,250,40.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,01761,00073,1,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Establo lechero,1.0,0.0,0.0,050,25.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,01761,00074,2,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,pase,Pecuaria,,,,,,,Establo lechero,4.0,0.0,0.0,080,40.0,Manual,Pozo,
2017.0,14,LAMBAYEQUE,01,CHICLAYO,12,PIMENTEL,01766,00034,1,Granja y Establo,Completa,COSTA,,3.7689873417721524,2.0,Agrícola,Pecuaria,,,,,,,Granja porcina,0.0,6.0,0.0,060,120.0,Manual,Red pública,
