ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00020,2,,Completa,Costa,Costa Norte,16.357142857142858,1.0,Agricola,Pecuaria,1.0,QUESO,4208.0,3.0,00,UNIDAD,24.0,0.75,0.0,00,,,,3.0,00,0.0,00,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00060,4,,Completa,Costa,Costa Norte,16.357142857142858,1.0,0.0,Pecuaria,1.0,QUESO,4208.0,10.0,00,UNIDAD,24.0,0.5,5.0,00,4.0,00,20.0,5.0,00,0.0,00,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00099,7,,Completa,Costa,Costa Norte,16.357142857142858,1.0,0.0,Pecuaria,1.0,QUESO,4208.0,24.0,00,UNIDAD,24.0,0.5,0.0,00,,,,24.0,00,0.0,00,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00184,11,,Completa,Costa,Costa Norte,16.357142857142858,1.0,0.0,Pecuaria,1.0,QUESO,4208.0,6.0,00,UNIDAD,24.0,1.0,0.0,00,,,,6.0,00,0.0,00,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00205,13,,Completa,Costa,Costa Norte,16.357142857142858,1.0,0.0,Pecuaria,1.0,QUESO,4208.0,100.0,00,UNIDAD,24.0,0.5,100.0,00,5.0,00,500.0,0.0,00,0.0,00,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00012,2,,Completa,Costa,Costa Norte,8.928571428571429,1.0,Agricola,Pecuaria,1.0,QUESO,4208.0,40.0,00,UNIDAD,24.0,0.6,0.0,00,,,,30.0,00,10.0,00,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00023,3,,Completa,Costa,Costa Norte,8.928571428571429,1.0,Agricola,Pecuaria,1.0,QUESO,4208.0,120.0,00,UNIDAD,24.0,0.5,100.0,00,4.0,00,400.0,20.0,00,0.0,00,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00063,8,,Completa,Costa,Costa Norte,8.928571428571429,1.0,Agricola,Pecuaria,1.0,QUESO,4208.0,800.0,00,UNIDAD,24.0,0.6,600.0,00,5.0,00,3000.0,100.0,00,100.0,00,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00083,10,,Completa,Costa,Costa Norte,8.928571428571429,1.0,0.0,Pecuaria,1.0,QUESO,4208.0,157.0,00,UNIDAD,24.0,0.6,0.0,00,,,,57.0,00,100.0,00,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00092,11,,Completa,Costa,Costa Norte,8.928571428571429,1.0,0.0,Pecuaria,1.0,QUESO,4208.0,3500.0,00,UNIDAD,24.0,0.5,3327.0,00,8.0,00,26616.0,166.0,00,7.0,00,
