UBIGEO,ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,REGION,ZONA,X,Y,LONGITUD,LATITUD,ALTITUD
060202,2017.0,06,CAJAMARCA,02,CAJABAMBA,02,CACHACHI,04904,SIERRA,17.0,814000.0,9158194.0,-78.15147,-7.60627,2215.0
060202,2017.0,06,CAJAMARCA,02,CAJABAMBA,02,CACHACHI,04892,SIERRA,17.0,798000.0,9162432.0,-78.30097,-7.56893,3462.0
060203,2017.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04946,SIERRA,17.0,815000.0,9168174.0,-78.14361,-7.51606,2060.0
060204,2017.0,06,CAJAMARCA,02,CAJABAMBA,04,SITACOCHA,04978,SIERRA,18.0,178000.0,9174350.0,-77.91263,-7.45989,3401.0
060907,2017.0,06,CAJAMARCA,09,SAN IGNACIO,07,TABACONAS,02013,SIERRA,17.0,699000.0,9415314.0,-79.20284,-5.28708,1872.0
060907,2017.0,06,CAJAMARCA,09,SAN IGNACIO,07,TABACONAS,02005,SIERRA,17.0,702000.0,9417552.0,-79.17784,-5.26677,1811.0
061304,2017.0,06,CAJAMARCA,13,SANTA CRUZ,04,CHANCAYBA?ÑOS,03481,SIERRA,17.0,731000.0,9276257.0,-78.90693,-6.54329,2096.0
061304,2017.0,06,CAJAMARCA,13,SANTA CRUZ,04,CHANCAYBA?æOS,03480,SIERRA,17.0,728000.0,9276965.0,-78.93681,-6.53701,1918.0
061001,2017.0,06,CAJAMARCA,10,SAN MARCOS,01,PEDRO GALVEZ,04808,SIERRA,17.0,817000.0,9188304.0,-78.12721,-7.33408,2429.0
061001,2017.0,06,CAJAMARCA,10,SAN MARCOS,01,PEDRO GALVEZ,04780,SIERRA,17.0,811000.0,9191214.0,-78.18475,-7.30815,2636.0
061006,2017.0,06,CAJAMARCA,10,SAN MARCOS,06,JOSE MANUEL QUIROZ,04763,SIERRA,17.0,828000.0,9186857.0,-78.02855,-7.34651,3611.0
061007,2017.0,06,CAJAMARCA,10,SAN MARCOS,07,JOSE SABOGAL,04720,SIERRA,17.0,828000.0,9204241.0,-78.03381,-7.1895,3310.0
061202,2017.0,06,CAJAMARCA,12,SAN PABLO,02,SAN BERNARDINO,03788,SIERRA,17.0,748000.0,9208714.0,-78.75102,-7.15315,2474.0
061201,2017.0,06,CAJAMARCA,12,SAN PABLO,01,SAN PABLO,03778,SIERRA,17.0,746000.0,9211610.0,-78.77248,-7.12707,2779.0
061201,2017.0,06,CAJAMARCA,12,SAN PABLO,01,SAN PABLO,03770,SIERRA,17.0,741000.0,9215166.0,-78.81736,-7.09514,2846.0
060306,2017.0,06,CAJAMARCA,03,CELENDIN,06,JOSE GALVEZ,04631,SIERRA,17.0,813000.0,9235234.0,-78.17201,-6.91034,2961.0
060309,2017.0,06,CAJAMARCA,03,CELENDIN,09,SOROCHUCO,04566,SIERRA,17.0,802000.0,9233845.0,-78.26503,-6.92343,2740.0
060309,2017.0,06,CAJAMARCA,03,CELENDIN,09,SOROCHUCO,04521,SIERRA,17.0,800000.0,9237896.0,-78.29001,-6.88697,3184.0
060309,2017.0,06,CAJAMARCA,03,CELENDIN,09,SOROCHUCO,04523,SIERRA,17.0,801000.0,9238053.0,-78.27424,-6.88547,2744.0
060907,2017.0,06,CAJAMARCA,09,SAN IGNACIO,07,TABACONAS,02021,SIERRA,17.0,693000.0,9409562.0,-79.26241,-5.33926,2059.0
060906,2017.0,06,CAJAMARCA,09,SAN IGNACIO,06,SAN JOS?ë DE LOURDES,01895,SELVA,17.0,741000.0,9432961.0,-78.82209,-5.12633,1453.0
060901,2017.0,06,CAJAMARCA,09,SAN IGNACIO,01,SAN IGNACIO,01839,SELVA,17.0,717000.0,9433747.0,-79.03828,-5.11992,1550.0
060901,2017.0,06,CAJAMARCA,09,SAN IGNACIO,01,SAN IGNACIO,01836,SELVA,17.0,725000.0,9433650.0,-78.9706,-5.12059,941.0
060903,2017.0,06,CAJAMARCA,09,SAN IGNACIO,03,HUARANGO,01928,SELVA,17.0,749000.0,9410445.0,-78.75735,-5.32965,858.0
060901,2017.0,06,CAJAMARCA,09,SAN IGNACIO,01,SAN IGNACIO,01846,SELVA,17.0,720000.0,9431349.0,-79.01645,-5.14154,1470.0
061001,2017.0,06,CAJAMARCA,10,SAN MARCOS,01,PEDRO GALVEZ,04796,SIERRA,17.0,822000.0,9187611.0,-78.0844,-7.34007,3054.0
060801,2017.0,06,CAJAMARCA,08,JAEN,01,JAEN,02165,SELVA,17.0,728000.0,9359867.0,-78.94401,-5.78756,2513.0
060811,2017.0,06,CAJAMARCA,08,JAEN,11,SAN JOSE DEL ALTO,02081,SELVA,17.0,708000.0,9393757.0,-79.12702,-5.48177,1795.0
060811,2017.0,06,CAJAMARCA,08,JAEN,11,SAN JOSE DEL ALTO,02089,SELVA,17.0,728000.0,9386031.0,-78.94246,-5.55101,1769.0
060812,2017.0,06,CAJAMARCA,08,JAEN,12,SANTA ROSA,02131,SELVA,17.0,772000.0,9400017.0,-78.5464,-5.42309,1305.0
061308,2017.0,06,CAJAMARCA,13,SANTA CRUZ,08,SAUCEPAMPA,03564,SIERRA,17.0,731000.0,9261730.0,-78.91049,-6.67463,1997.0
061305,2017.0,06,CAJAMARCA,13,SANTA CRUZ,05,LA ESPERANZA,03537,SIERRA,17.0,738000.0,9265995.0,-78.84844,-6.63581,2131.0
061301,2017.0,06,CAJAMARCA,13,SANTA CRUZ,01,SANTA CRUZ,03552,SIERRA,17.0,729000.0,9265479.0,-78.93218,-6.64083,2130.0
061101,2017.0,06,CAJAMARCA,11,SAN MIGUEL,01,SAN MIGUEL,03696,SIERRA,17.0,733000.0,9219510.0,-78.89121,-7.05621,2350.0
061101,2017.0,06,CAJAMARCA,11,SAN MIGUEL,01,SAN MIGUEL,03674,SIERRA,17.0,736000.0,9226120.0,-78.85969,-6.99632,2895.0
061101,2017.0,06,CAJAMARCA,11,SAN MIGUEL,01,SAN MIGUEL,03670,SIERRA,17.0,727000.0,9224216.0,-78.94693,-7.01392,3680.0
