ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P224A_N,P224B_NOM,P224B_COD,P224B_TIPO,P224C_MES,P224C_ANIO,P224D_SUP_1,P224D_SUP_2,P224E_1,P224E_2,P224E_3,P224E_4,P224E_5,P224E_6,P224E_7,P224F_MES,P224F_ANIO,OMICAP200_00
2018.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00056,00006,1,,Completa,Costa,Costa Norte,9.642857142857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMARILLO DURO,2107.0,Transitorio, 2,2018.0,0.0,500,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase, 3,2018,
2018.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00056,00058,6,,Completa,Costa,Costa Norte,9.642857142857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMARILLO DURO,2107.0,Transitorio, 1,2018.0,1.0,000,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase, 2,2018,
2018.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00056,00058,6,,Completa,Costa,Costa Norte,9.642857142857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MARACUYA,2205.0,Transitorio,12,2017.0,0.0,025,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase, 2,2018,
2018.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00057,00063,7,,Completa,Costa,Costa Norte,10.142857142857144,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,Transitorio, 2,2018.0,0.0,300,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase, 3,2018,
2018.0,24,TUMBES,03,ZARUMILLA,03,MATAPALO,00069,00219,12,,Completa,Costa,Costa Norte,19.5,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,Transitorio, 1,2018.0,0.0,300,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase, 2,2018,
2018.0,24,TUMBES,03,ZARUMILLA,03,MATAPALO,00070,00094,7,,Completa,Costa,Costa Norte,10.857142857142858,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107.0,Transitorio,12,2017.0,2.0,000,Pase,Pase,Fue afectada por plagas y/o enfermedades,Pase,Pase,Fue afectada por sequía,Pase, 2,2018,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00052,7,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,SOYA,2829.0,Transitorio, 1,2018.0,1.0,000,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase, 6,2018,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00037,3,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,CAÑA DE AZUCAR PARA ALCOHOL,2807.0,Transitorio, 5,2017.0,0.0,500,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase, 5,2017,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00073,6,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,NONI,1217.0,Permanente de cosecha estacional, 5,2017.0,0.0,001,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase, 4,2018,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00056,4,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107.0,Transitorio,12,2017.0,0.0,180,"Fue afectada por huaycos, deslizamientos o derrumbes",Pase,Pase,Fue afectada por heladas,Pase,Pase,Pase, 2,2018,
