ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P229C,P204_NOM_200C,P204_COD_200C,P229C_NOM,P229C_COD,P229D_CANT_ENT,P229D_CANT_DEC,P229D_UM,P229D_UM_COD,P229_EQUIV,P229E_1_CANT_ENT,P229E_1_CANT_DEC,P229E_PREC_ENT,P229E_PREC_DEC,P229E_VAL,P229E_2_ENT,P229E_2_DEC,P229E_3_ENT,P229E_3_DEC,OMICAP200_02
2018.0,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,00066,00058,7,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,CACAO,1202,TABLETAS DE CHOCOLATE,4135.0,1.0,000,KILO,12,1.0,0.0,000,,,,1.0,000,0.0,000,
2018.0,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,00066,00082,10,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CACAO,1202,TABLETAS DE CHOCOLATE,4135.0,22.0,000,KILO,12,1.0,0.0,000,,,,22.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00258,00103,13,,Completa,Costa,Costa Norte,134.25198938992042,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,20.0,000,QUINTAL,18,50.0,15.0,000,140.0,00,2100.0,5.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00007,1,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,0.0,500,QUINTAL,18,50.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00007,1,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,0.0,500,QUINTAL,18,50.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00018,2,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,1.0,000,SACO,19,100.0,0.0,000,,,,1.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00018,2,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,1.0,000,SACO,19,100.0,0.0,000,,,,1.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00047,6,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,2.0,000,SACO,19,45.0,0.0,000,,,,2.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00047,6,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,2.0,000,SACO,19,45.0,0.0,000,,,,2.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00049,7,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CACAO,1202,TABLETAS DE CHOCOLATE,4135.0,3.0,500,KILO,12,1.0,0.0,000,,,,3.0,500,0.0,000,
