ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00054,7,,Completa,Costa,Costa Norte,9.615384615384615,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,100.0,000,KILO,12,1.0,0.0,000,,,,100.0,000,0.0,000,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00079,8,,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,20.0,000,ATADO,02,10.0,19.0,000,3.0,00,57.0,1.0,000,0.0,000,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00002,1,,Completa,Costa,Costa Norte,9.071428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,200.0,000,KILO,12,1.0,0.0,000,,,,200.0,000,0.0,000,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00014,2,,Completa,Costa,Costa Norte,9.071428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,500.0,000,KILO,12,1.0,0.0,000,,,,500.0,000,0.0,000,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00024,3,,Completa,Costa,Costa Norte,9.071428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,250.0,000,KILO,12,1.0,0.0,000,,,,250.0,000,0.0,000,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00037,4,,Completa,Costa,Costa Norte,9.071428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,220.0,000,KILO,12,1.0,0.0,000,,,,220.0,000,0.0,000,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00041,5,,Completa,Costa,Costa Norte,9.071428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,180.0,000,KILO,12,1.0,0.0,000,,,,180.0,000,0.0,000,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00082,11,,Completa,Costa,Costa Norte,9.071428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,700.0,000,KILO,12,1.0,0.0,000,,,,700.0,000,0.0,000,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00052,3,,Completa,Costa,Costa Norte,15.428571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1050.0,000,SURCO,51,40.0,0.0,000,,,,1050.0,000,0.0,000,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00085,5,,Completa,Costa,Costa Norte,15.428571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,132.0,000,SURCO,51,12.0,100.0,000,2.0,00,200.0,32.0,000,0.0,000,
