ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,FACTOR,CODIGO,P101A,P102_1,P102_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AE,OMICAP400_02
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00127,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,1.0,1.0,0.0,100,130.0,Manual?,Red pública,
2018.0,24,TUMBES,01,TUMBES,02,CORRALES,00014,00051,4,Granjas Avícolas,Completa,Costa,4.223076923076923,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,0.0,1.0,0.0,006,240.0,Manual?,Red pública,
2018.0,24,TUMBES,01,TUMBES,02,CORRALES,00014,00051,4,Granjas Avícolas,Completa,Costa,4.223076923076923,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pavos de engorde,0.0,1.0,0.0,006,180.0,Manual?,Red pública,
2018.0,20,PIURA,05,PAITA,04,COLAN,00105,00003,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,1.0,0.0,0.0,075,140.0,Manual?,Red pública,
2018.0,20,PIURA,05,PAITA,04,COLAN,00110,00085,2,Granjas Avícolas,Completa,Costa,1.007936507936508,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,16.0,0.0,4.0,160,480000.0,Automatico?,Cisterna,
2018.0,20,PIURA,05,PAITA,04,COLAN,00110,00089,3,Granjas Avícolas,Completa,Costa,1.007936507936508,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,18.0,0.0,4.0,680,540000.0,Automatico?,Cisterna,
2018.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00133,00035,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,2.0,10.0,0.0,120,120.0,Manual?,Red pública,
2018.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00133,00035,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,1.0,1.0,0.0,010,56.0,Manual?,Red pública,
2018.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00137,00080,2,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,7.0,0.0,0.0,500,70.0,Manual?,Cisterna,
2018.0,20,PIURA,06,SULLANA,01,SULLANA,00240,00054,5,Granjas y Establos,Completa,Costa,1.0241935483870968,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Centro de engorde vacuno,50.0,0.0,2.0,000,2200.0,Manual?,Otro,
2018.0,20,PIURA,04,MORROPON,05,MORROPON,00877,00051,1,Empresa,Completa,Costa,1.0089686098654709,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Pase,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Centro de engorde vacuno,3.0,0.0,0.0,132,150.0,Manual?,Red pública,
2018.0,20,PIURA,04,MORROPON,06,SALITRAL,00929,00100,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,4.0,0.0,0.0,006,40.0,Manual?,Red pública,
2018.0,20,PIURA,01,PIURA,01,PIURA,01045,00076,4,Granjas Avícolas,Completa,Costa,1.007936507936508,Grandes productores/as agropecuarios/as,¿Sociedad anónima?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,53.0,0.0,13.0,250,1340175.0,Automatico?,Pozo,
2018.0,20,PIURA,01,PIURA,05,CATACAOS,01052,00120,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,15.0,0.0,0.0,040,80.0,Manual?,Río/riachuelo,
2018.0,20,PIURA,01,PIURA,05,CATACAOS,01052,00123,2,Granjas Avícolas,Completa,Costa,1.007936507936508,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de gallina de postura,11.0,2.0,1.0,560,195000.0,Automatico?,Pozo,
2018.0,14,LAMBAYEQUE,03,LAMBAYEQUE,04,JAYANCA,01364,00026,5,Persona Natural,Completa,Costa,3.4887892376681617,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,2.0,0.0,114,5000.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,03,LAMBAYEQUE,01,LAMBAYEQUE,01571,00105,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,12.0,0.0,0.0,220,220.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,03,LAMBAYEQUE,01,LAMBAYEQUE,01571,00109,2,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,15.0,0.0,0.0,250,140.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,20,TUMAN,01696,00114,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,3.0,0.0,0.0,100,50.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,20,TUMAN,01696,00116,2,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,1.0,0.0,0.0,060,30.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,20,TUMAN,01696,00118,3,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,2.0,10.0,0.0,480,240.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,13,REQUE,01753,00149,1,Granjas Avícolas,Completa,Costa,4.223076923076923,Grandes productores/as agropecuarios/as,¿Empresa individual de responsabilidad limitada (EIRL)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de gallina de postura,4.0,1.0,1.0,000,62500.0,Manual?,Río/riachuelo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,13,REQUE,01755,00065,3,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,1.0,1.0,0.0,030,14.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00006,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Establo lechero,1.0,0.0,0.0,100,50.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00006,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Centro de engorde vacuno,2.0,0.0,0.0,300,150.0,Manual?,Manantial,
