ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00019,1,,Completa,Costa,Costa Norte,22.9,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,800.0,00,UNIDAD,24,0.35,750.0,00,8.0,00,6000.0,50.0,00,0.0,00,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00118,14,,Completa,Costa,Costa Norte,9.23076923076923,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,1.0,QUESO,4208.0,600.0,00,UNIDAD,24,0.3,500.0,00,4.0,50,2250.0,70.0,00,30.0,00,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00023,1,,Completa,Costa,Costa Norte,15.428571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,270.0,00,UNIDAD,24,0.5,270.0,00,5.0,00,1350.0,0.0,00,0.0,00,
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00113,7,,Completa,Costa,Costa Norte,15.428571428571429,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,1.0,QUESO,4208.0,1200.0,00,UNIDAD,24,0.7,1100.0,00,6.0,00,6600.0,100.0,00,0.0,00,
2018.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00047,9,,Completa,Costa,Costa Norte,9.394607843137257,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,4.0,00,UNIDAD,24,0.5,0.0,00,,,,4.0,00,0.0,00,
2018.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00089,13,,Completa,Costa,Costa Norte,9.394607843137257,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,6.0,00,UNIDAD,24,0.4,3.0,00,6.0,00,18.0,3.0,00,0.0,00,
2018.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00027,4,,Completa,Costa,Costa Norte,9.428571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,25.0,00,UNIDAD,24,0.7,23.0,00,6.0,00,138.0,2.0,00,0.0,00,
2018.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00061,11,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,4.0,00,UNIDAD,24,0.5,0.0,00,,,,4.0,00,0.0,00,
2018.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00080,14,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,2.0,50,KILO,12,1.0,1.0,50,12.0,00,18.0,1.0,00,0.0,00,
2018.0,20,PIURA,06,SULLANA,03,IGNACIO ESCUDERO,00112,00002,1,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,884.0,00,UNIDAD,24,0.4,800.0,00,5.0,00,4000.0,64.0,00,20.0,00,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00030,4,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,24.0,00,KILO,12,1.0,12.0,00,8.0,00,96.0,12.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00036,5,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CUAJADA,4203.0,4.0,00,KILO,12,1.0,0.0,00,,,,4.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00099,13,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,400.0,00,KILO,12,1.0,200.0,00,15.0,00,3000.0,200.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00099,13,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,CUAJADA,4203.0,200.0,00,KILO,12,1.0,50.0,00,10.0,00,500.0,150.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00112,11,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,6.0,00,KILO,12,1.0,0.0,00,,,,6.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00130,12,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,20.0,00,KILO,12,1.0,10.0,00,20.0,00,200.0,10.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00018,2,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,34.0,00,KILO,12,1.0,0.0,00,,,,30.0,00,4.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00057,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,294.0,00,KILO,12,1.0,200.0,00,12.0,00,2400.0,84.0,00,10.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00076,7,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,34.0,00,KILO,12,1.0,0.0,00,,,,34.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00156,14,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,100.0,00,KILO,12,1.0,10.0,00,15.0,00,150.0,90.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00068,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,200.0,00,KILO,12,1.0,0.0,00,,,,200.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00079,7,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,60.0,00,KILO,12,1.0,30.0,00,12.0,00,360.0,30.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00130,10,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,108.0,00,KILO,12,1.0,58.0,00,15.0,00,870.0,50.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00173,12,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,210.0,00,KILO,12,1.0,60.0,00,12.0,00,720.0,150.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00331,00038,5,,Completa,Sierra,Sierra Norte,73.38035714285714,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,60.0,00,KILO,12,1.0,40.0,00,12.0,00,480.0,15.0,00,5.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00331,00060,8,,Completa,Sierra,Sierra Norte,73.38035714285714,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,18.0,00,KILO,12,1.0,15.0,00,12.0,00,180.0,3.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00004,1,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,24.0,00,KILO,12,1.0,0.0,00,,,,24.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00023,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,180.0,00,KILO,12,1.0,6.0,00,10.0,00,60.0,168.0,00,6.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00050,9,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,15.0,00,KILO,12,1.0,0.0,00,,,,15.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00057,10,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,264.0,00,KILO,12,1.0,132.0,00,10.0,00,1320.0,132.0,00,0.0,00,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00073,12,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,156.0,00,KILO,12,1.0,78.0,00,12.0,00,936.0,78.0,00,0.0,00,
