UBIGEO,ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,REGION,ZONA,X,Y,LONGITUD,LATITUD,ALTITUD
060201,2018.0,06,CAJAMARCA,02,CAJABAMBA,01,CAJABAMBA,05017,Sierra,17.0,827309.0,9155675.0,-78.03375,-7.62824,2851.0
060201,2018.0,06,CAJAMARCA,02,CAJABAMBA,01,CAJABAMBA,04999,Sierra,17.0,826187.0,9159160.0,-78.04413,-7.59683,2830.0
060202,2018.0,06,CAJAMARCA,02,CAJABAMBA,02,CACHACHI,04929,Sierra,17.0,800297.0,9150080.0,-78.27803,-7.6804,3948.0
060202,2018.0,06,CAJAMARCA,02,CAJABAMBA,02,CACHACHI,04922,Sierra,17.0,803778.0,9157127.0,-78.24692,-7.61653,2856.0
060202,2018.0,06,CAJAMARCA,02,CAJABAMBA,02,CACHACHI,04904,Sierra,17.0,814326.0,9158194.0,-78.15147,-7.60627,2223.0
060202,2018.0,06,CAJAMARCA,02,CAJABAMBA,02,CACHACHI,04892,Sierra,17.0,797842.0,9162432.0,-78.30097,-7.56893,3481.0
060202,2018.0,06,CAJAMARCA,02,CAJABAMBA,02,CACHACHI,04883,Sierra,17.0,810683.0,9165758.0,-78.1849,-7.53815,2132.0
060203,2018.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04946,Sierra,17.0,815259.0,9168174.0,-78.14361,-7.51606,2065.0
060204,2018.0,06,CAJAMARCA,02,CAJABAMBA,04,SITACOCHA,04978,Sierra,18.0,178487.0,9174350.0,-77.91263,-7.45989,3402.0
061304,2018.0,06,CAJAMARCA,13,SANTA CRUZ,04,CHANCAYBAÑOS,03481,Sierra,17.0,731450.0,9276257.0,-78.90693,-6.54329,2103.0
061304,2018.0,06,CAJAMARCA,13,SANTA CRUZ,04,CHANCAYBAÑOS,03480,Sierra,17.0,728147.0,9276965.0,-78.93681,-6.53701,1928.0
061001,2018.0,06,CAJAMARCA,10,SAN MARCOS,01,PEDRO GALVEZ,04808,Sierra,17.0,817201.0,9188304.0,-78.12721,-7.33408,2421.0
061001,2018.0,06,CAJAMARCA,10,SAN MARCOS,01,PEDRO GALVEZ,04780,Sierra,17.0,810860.0,9191214.0,-78.18475,-7.30815,2640.0
061004,2018.0,06,CAJAMARCA,10,SAN MARCOS,04,GREGORIO PITA,04691,Sierra,17.0,815927.0,9198184.0,-78.1393,-7.24489,2917.0
061006,2018.0,06,CAJAMARCA,10,SAN MARCOS,06,JOSE MANUEL QUIROZ,04763,Sierra,17.0,828094.0,9186857.0,-78.02855,-7.34651,3600.0
061007,2018.0,06,CAJAMARCA,10,SAN MARCOS,07,JOSE SABOGAL,04720,Sierra,17.0,827628.0,9204241.0,-78.03381,-7.1895,3320.0
061202,2018.0,06,CAJAMARCA,12,SAN PABLO,02,SAN BERNARDINO,03788,Sierra,17.0,748382.0,9208714.0,-78.75102,-7.15315,2497.0
061201,2018.0,06,CAJAMARCA,12,SAN PABLO,01,SAN PABLO,03778,Sierra,17.0,746025.0,9211610.0,-78.77248,-7.12707,2776.0
061201,2018.0,06,CAJAMARCA,12,SAN PABLO,01,SAN PABLO,03770,Sierra,17.0,741083.0,9215166.0,-78.81736,-7.09514,2844.0
060306,2018.0,06,CAJAMARCA,03,CELENDIN,06,JOSE GALVEZ,04631,Sierra,17.0,812538.0,9235234.0,-78.17201,-6.91034,2976.0
060312,2018.0,06,CAJAMARCA,03,CELENDIN,12,LA LIBERTAD DE PALLAN,04332,Sierra,17.0,800756.0,9261223.0,-78.27985,-6.67613,3290.0
060302,2018.0,06,CAJAMARCA,03,CELENDIN,02,CHUMUCH,04311,Sierra,17.0,814006.0,9273638.0,-78.16075,-6.56329,1442.0
060304,2018.0,06,CAJAMARCA,03,CELENDIN,04,HUASMIN,04461,Sierra,17.0,803576.0,9243865.0,-78.25348,-6.83283,2016.0
060309,2018.0,06,CAJAMARCA,03,CELENDIN,09,SOROCHUCO,04568,Sierra,17.0,801430.0,9232743.0,-78.27231,-6.93343,2988.0
060309,2018.0,06,CAJAMARCA,03,CELENDIN,09,SOROCHUCO,04523,Sierra,17.0,801247.0,9238053.0,-78.27424,-6.88547,2761.0
