ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_1_PRE_KG,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00064,4,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1500.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,1500.0,000,0.0,000,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00064,4,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,2.0,MAIZ CHOCLO,2109.0,PANCA DE CHOCLO,4129.0,1000.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,1000.0,000,0.0,000,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00138,9,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1000.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,1000.0,000,0.0,000,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,3000.0,000,ATADO,45,2.0,0.0,000,,,,,3000.0,000,0.0,000,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00029,3,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,30.0,000,SACO,19,80.0,0.0,000,,,,,20.0,000,10.0,000,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,800.0,000,TERCIO,20,40.0,0.0,000,,,,,800.0,000,0.0,000,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,80.0,000,TERCIO,20,30.0,0.0,000,,,,,80.0,000,0.0,000,
2021.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00068,11,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,60.0,000,CARGA,09,40.0,60.0,000,5.0,50,330.0,0.1375,0.0,000,0.0,000,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00015,00088,14,Completa,Costa,Costa Norte,9.601851851851853,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1600.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,0.0,000,1600.0,000,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00033,5,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1.0,000,CAMIONADA,08,1000.0,0.0,000,,,,,1.0,000,0.0,000,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,00046,8,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,10.0,000,CARGA,09,15.0,0.0,000,,,,,0.0,000,10.0,000,
2021.0,24,TUMBES,01,TUMBES,01,TUMBES,00024,00002,1,Completa,Costa,Costa Norte,10.474747474747474,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,70.0,000,TERCIO,20,30.0,0.0,000,,,,,0.0,000,70.0,000,
2021.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00020,4,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,92.0,000,CARGA,09,40.0,0.0,000,,,,,0.0,000,92.0,000,
2021.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00033,6,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,200.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,0.0,000,200.0,000,
2021.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00034,00056,7,Completa,Costa,Costa Norte,11.522222222222222,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1.0,000,LOTE,37,8000.0,0.0,000,,,,,1.0,000,0.0,000,
2021.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00039,00076,10,Completa,Costa,Costa Norte,8.285714285714285,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,10.0,000,TERCIO,20,20.0,0.0,000,,,,,10.0,000,0.0,000,
2021.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00039,00107,14,Completa,Costa,Costa Norte,8.285714285714285,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,100.0,000,CARGA,09,15.0,80.0,000,2.0,50,200.0,0.1667,0.0,000,20.0,000,
2021.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00043,00088,10,Completa,Costa,Costa Norte,9.357142857142858,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,10.0,000,CARGA,09,30.0,0.0,000,,,,,10.0,000,0.0,000,
2021.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00095,13,Completa,Costa,Costa Norte,8.863247863247864,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1500.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,1500.0,000,0.0,000,
2021.0,24,TUMBES,03,ZARUMILLA,01,ZARUMILLA,00055,00061,8,Completa,Costa,Costa Norte,11.52222222222222,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1200.0,000,KILOGRAMO,12,1.0,1200.0,000,0.0,10,120.0,0.1,0.0,000,0.0,000,
2021.0,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,00065,00083,11,Completa,Costa,Costa Norte,11.363636363636363,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,12000.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,0.0,000,12000.0,000,
2021.0,20,PIURA,05,PAITA,06,TAMARINDO,00083,00093,12,Completa,Costa,Costa Norte,138.07692307692307,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,300.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,0.0,000,300.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00003,1,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1500.0,000,KILOGRAMO,12,1.0,1500.0,000,0.0,10,150.0,0.1,0.0,000,0.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00005,2,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,ARROZ CASCARA,2101.0,"PAJA (CEBADA, TRIGO, AVENA, ARROZ)",4128.0,12500.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,12500.0,000,0.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00008,3,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1500.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,1500.0,000,0.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00015,4,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,1000.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,1000.0,000,0.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00032,5,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1500.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,0.0,000,1500.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00033,6,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,1200.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,1200.0,000,0.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00038,7,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,400.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,400.0,000,0.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00044,8,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,600.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,600.0,000,0.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00055,9,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,200.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,200.0,000,0.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00055,9,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,2.0,FRIJOL DE PALO GRANO VERDE,2427.0,RASTROJO DE FRIJOL,4134.0,50.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,50.0,000,0.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00062,10,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,1000.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,1000.0,000,0.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00074,12,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,320.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,0.0,000,320.0,000,
2021.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00076,13,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,100.0,000,KILOGRAMO,12,1.0,100.0,000,0.0,08,8.0,0.08,0.0,000,0.0,000,
2021.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00130,00012,1,Completa,Costa,Costa Norte,199.44444444444443,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,600.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,600.0,000,0.0,000,
2021.0,20,PIURA,06,SULLANA,04,LANCONES,00161,00004,1,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1000.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,1000.0,000,0.0,000,
2021.0,20,PIURA,06,SULLANA,04,LANCONES,00161,00018,3,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,300.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,300.0,000,0.0,000,
2021.0,20,PIURA,06,SULLANA,04,LANCONES,00161,00055,7,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,300.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,300.0,000,0.0,000,
2021.0,20,PIURA,06,SULLANA,04,LANCONES,00161,00103,12,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1000.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,1000.0,000,0.0,000,
