ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,2.0,50,UNIDAD,24,0.5,2.0,50,6.0,00,15.0,12.0,0.0,00,0.0,00,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00084,10,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,3,3,1.0,QUESO,4208.0,100.0,00,UNIDAD,24,0.5,60.0,00,5.0,00,300.0,10.0,30.0,00,10.0,00,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00093,11,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,3,3,1.0,QUESO,4208.0,38.0,00,UNIDAD,24,0.5,30.0,00,8.0,00,240.0,16.0,8.0,00,0.0,00,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00111,13,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,3,3,1.0,QUESO,4208.0,100.0,00,UNIDAD,24,0.5,100.0,00,8.0,00,800.0,16.0,0.0,00,0.0,00,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,30.0,00,UNIDAD,24,0.8,0.0,00,,,,,30.0,00,0.0,00,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00020,2,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,50.0,00,UNIDAD,24,0.5,10.0,00,5.0,00,50.0,10.0,35.0,00,5.0,00,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,120.0,00,UNIDAD,24,0.5,90.0,00,7.0,00,630.0,14.0,30.0,00,0.0,00,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,120.0,00,UNIDAD,24,1.0,80.0,00,7.0,00,560.0,7.0,20.0,00,20.0,00,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,170.0,00,UNIDAD,24,0.5,85.0,00,6.0,00,510.0,12.0,80.0,00,5.0,00,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00032,4,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,3,3,1.0,QUESO,4208.0,22.0,00,UNIDAD,24,0.4,0.0,00,,,,,22.0,00,0.0,00,
