ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P501A_17,P501AA_17,P501A_18,P501AA_18,P501A_19,P501AA_19,P501A_20,P501AA_20,P501A_21,P501AA_21,P501A_22,P501AA_22,OMICAP500
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00046,3,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00064,4,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00102,6,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00121,7,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00138,9,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00142,10,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00171,11,Completa,Costa,Costa Norte,20.909090909090907,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00002,1,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00027,3,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00028,4,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00061,8,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00084,10,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00093,11,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00111,13,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00120,14,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
