ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1202B_N,P1202B_DEP_COD,P1202B_DEP,P1202B_PROV_COD,P1202B_PROV,P1202B_DIST_COD,P1202B_DIST,P1202B_CANT,OMICAP1200A
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00027,3,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,Pase,1.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,1.0,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00061,8,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,Pase,1.0,24,TUMBES,01,TUMBES,02,CORRALES,1.0,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00084,10,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,Pase,1.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,1.0,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00120,14,Completa,Costa,Costa Norte,11.90909090909091,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,Pase,1.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,1.0,
2021.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00039,6,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,Pase,1.0,24,TUMBES,01,TUMBES,02,CORRALES,2.0,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00008,00102,12,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,24,TUMBES,03,ZARUMILLA,01,ZARUMILLA,1.0,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00036,4,Completa,Costa,Costa Norte,9.601851851851851,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,24,TUMBES,01,TUMBES,01,TUMBES,1.0,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00049,7,Completa,Costa,Costa Norte,9.601851851851851,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,24,TUMBES,01,TUMBES,01,TUMBES,1.0,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00013,00034,4,Completa,Costa,Costa Norte,10.909090909090908,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,Pase,1.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,8.0,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00014,00019,3,Completa,Costa,Costa Norte,9.601851851851851,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,Pase,1.0,24,TUMBES,01,TUMBES,02,CORRALES,3.0,
