ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P224A_N,P224B_NOM,P224B_COD,P224B_TIPO,P224D_SUP_1,P224D_SUP_2,P224E_1,P224E_2,P224E_3,P224E_4,P224E_5,P224E_6,P224E_7,OMICAP200_00
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00095,10,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,PAPAYA,1163.0,Permanente de cosecha estacional,0.0,300,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00095,10,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,Transitorio,1.0,500,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,NARANJO,1156.0,Permanente de cosecha estacional,0.0,200,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1.0,LIMON ACIDO,1140.0,Permanente de cosecha continua,0.0,500,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00032,4,Completa,Costa,Costa Norte,8.0,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,Pase,1.0,HIERBA BUENA,2323.0,Transitorio,0.0,050,Pase,Fue afectada por inundaciones,Pase,Pase,Pase,Pase,Pase,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00032,4,Completa,Costa,Costa Norte,8.0,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,Pase,1.0,LECHUGA,2326.0,Transitorio,0.0,200,Pase,Fue afectada por inundaciones,Pase,Pase,Pase,Pase,Pase,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00032,4,Completa,Costa,Costa Norte,8.0,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,Pase,1.0,CEBOLLA,2315.0,Transitorio,0.0,050,Pase,Fue afectada por inundaciones,Pase,Pase,Pase,Pase,Pase,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00032,4,Completa,Costa,Costa Norte,8.0,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,Pase,1.0,CULANTRO,2321.0,Transitorio,0.0,050,Pase,Fue afectada por inundaciones,Pase,Pase,Pase,Pase,Pase,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00032,4,Completa,Costa,Costa Norte,8.0,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,Pase,1.0,ALBAHACA,2304.0,Transitorio,0.0,050,Pase,Fue afectada por inundaciones,Pase,Pase,Pase,Pase,Pase,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00032,4,Completa,Costa,Costa Norte,8.0,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,Pase,2.0,CEBOLLA CHINA,2316.0,Transitorio,0.0,100,Pase,Fue afectada por inundaciones,Pase,Pase,Pase,Pase,Pase,
