ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P229C,P204_NOM_200C,P204_COD_200C,P229C_NOM,P229C_COD,P229D_CANT_ENT,P229D_CANT_DEC,P229D_UM,P229D_UM_COD,P229_EQUIV,P229E_1_CANT_ENT,P229E_1_CANT_DEC,P229E_PREC_ENT,P229E_PREC_DEC,P229E_VAL,P229E_1_PRE_KG,P229E_2_ENT,P229E_2_DEC,P229E_3_ENT,P229E_3_DEC,OMICAP200_02
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00029,6,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,40.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,40.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,09,SICCHEZ,00278,00048,6,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,643.0,000,UNIDAD,24,1.0,572.0,000,2.0,00,1144.0,2.0,36.0,000,35.0,000,
2022.0,20,PIURA,02,AYABACA,09,SICCHEZ,00278,00122,14,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,214.0,000,UNIDAD,24,1.0,178.0,000,2.0,00,356.0,2.0,28.0,000,8.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00001,1,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,2.0,500,SACO,19,50.0,0.0,000,,,,,2.0,000,0.0,500,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00009,2,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,3.0,000,ARROBA,01,11.5,0.0,000,,,,,3.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00009,2,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,2.0,CAÑA DE AZUCAR PARA CHANCACA,2809,GUARAPO,4111.0,2.0,000,LATA,13,18.0,0.0,000,,,,,1.0,000,1.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00070,6,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,0.0,500,ARROBA,01,11.5,0.0,000,,,,,0.0,500,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00070,6,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,171.0,000,KILOGRAMO,12,1.0,128.0,000,2.0,40,307.0,2.4,43.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00075,7,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,2.0,000,QUINTAL,18,50.0,1.0,500,120.0,00,180.0,2.4,0.0,500,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00120,11,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,4.0,000,ARROBA,01,11.5,0.0,000,,,,,4.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00137,12,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,1.0,000,QUINTAL,18,50.0,0.0,000,,,,,0.0,750,0.0,250,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00149,15,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,5.0,000,ARROBA,01,11.5,0.0,000,,,,,5.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00149,15,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,50.0,000,KILOGRAMO,12,1.0,10.0,000,2.0,00,20.0,2.0,40.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00305,00094,9,Completa,Sierra,Sierra Norte,98.78124999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,1414.0,000,KILOGRAMO,12,1.0,1349.0,000,2.0,50,3373.0,2.5,43.0,000,22.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00305,00105,12,Completa,Sierra,Sierra Norte,98.78124999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,143.0,000,KILOGRAMO,12,1.0,125.0,000,2.0,50,313.0,2.5,18.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00305,00115,15,Completa,Sierra,Sierra Norte,98.78124999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,714.0,000,KILOGRAMO,12,1.0,645.0,000,2.0,50,1613.0,2.5,43.0,000,26.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00059,3,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,10.0,000,BALDE,03,5.0,0.0,000,,,,,8.0,000,2.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00076,4,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,1.0,000,BALDE,03,10.0,0.0,000,,,,,1.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00089,5,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,3.0,500,BALDE,03,10.0,0.0,000,,,,,2.0,800,0.0,700,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00089,5,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,TRIGO,2113,HARINA DE TRIGO,4118.0,0.0,500,QUINTAL,18,50.0,0.0,000,,,,,0.0,500,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00113,7,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,1.0,000,BALDE,03,5.0,0.0,000,,,,,0.0,750,0.0,250,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00122,9,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,3.0,000,BALDE,03,4.0,0.0,000,,,,,2.0,500,0.0,500,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00122,9,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,TRIGO,2113,HARINA DE TRIGO,4118.0,1.0,500,QUINTAL,18,50.0,0.0,000,,,,,1.0,000,0.0,500,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00132,10,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,25.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,25.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00136,12,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,3.0,000,BALDE,03,5.0,0.0,000,,,,,3.0,000,0.0,000,
