ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_1_PRE_KG,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00008,2,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,10000.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,10000.0,000,0.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00112,13,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,40.0,000,TERCIO,20,40.0,0.0,000,,,,,40.0,000,0.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00010,2,Completa,Costa,Costa Norte,8.466666666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,8.0,000,CAMIONADA,08,2500.0,0.0,000,,,,,6.0,000,2.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00016,3,Completa,Costa,Costa Norte,8.466666666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,500.0,000,TERCIO,20,25.0,0.0,000,,,,,500.0,000,0.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00034,4,Completa,Costa,Costa Norte,8.466666666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,4.0,000,TONELADA,22,1000.0,0.0,000,,,,,4.0,000,0.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00037,5,Completa,Costa,Costa Norte,8.466666666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,700.0,000,SURCO,51,30.0,500.0,000,3.0,00,1500.0,0.1,200.0,000,0.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00042,6,Completa,Costa,Costa Norte,8.466666666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,8.0,000,TONELADA,22,1000.0,0.0,000,,,,,8.0,000,0.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00073,10,Completa,Costa,Costa Norte,8.466666666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,80.0,000,CARGA,09,60.0,80.0,000,10.0,00,800.0,0.1667,0.0,000,0.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00096,12,Completa,Costa,Costa Norte,8.466666666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,90.0,000,CARGA,09,80.0,40.0,000,5.0,00,200.0,0.0625,0.0,000,50.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00105,13,Completa,Costa,Costa Norte,8.466666666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,120.0,000,CARGA,09,60.0,0.0,000,,,,,120.0,000,0.0,000,
