ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00072,5,Completa,Costa,Costa Norte,20.818181818181817,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,6.0,50,KILOGRAMO,12.0,1.0,4.0,50,12.0,00,54.0,12.0,2.0,00,0.0,00,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00202,12,Completa,Costa,Costa Norte,20.818181818181817,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,3,3,1.0,QUESO,4208.0,12.0,00,KILOGRAMO,12.0,1.0,10.0,00,10.0,00,100.0,10.0,2.0,00,0.0,00,
2022.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00083,13,Completa,Costa,Costa Norte,7.923076923076923,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,3,3,1.0,QUESO,4208.0,477.0,50,UNIDAD,24.0,0.5,417.0,50,8.0,00,3340.0,16.0,40.0,00,20.0,00,
2022.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00085,14,Completa,Costa,Costa Norte,7.923076923076923,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,3,3,1.0,QUESO,4208.0,250.0,00,UNIDAD,24.0,0.5,220.0,00,5.0,00,1100.0,10.0,20.0,00,10.0,00,
2022.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00099,15,Completa,Costa,Costa Norte,7.923076923076923,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,3,3,1.0,QUESO,4208.0,360.0,00,UNIDAD,24.0,0.5,300.0,00,5.0,00,1500.0,10.0,30.0,00,30.0,00,
2022.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00110,13,Completa,Costa,Costa Norte,8.8,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,10.0,00,UNIDAD,24.0,0.5,0.0,00,,,,,10.0,00,0.0,00,
2022.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00080,11,Completa,Costa,Costa Norte,6.349999999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,112.0,00,UNIDAD,24.0,0.4,60.0,00,7.0,00,420.0,17.5,40.0,00,12.0,00,
2022.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00073,11,Completa,Costa,Costa Norte,7.928571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,24.0,00,UNIDAD,24.0,0.5,0.0,00,,,,,24.0,00,0.0,00,
2022.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,00017,3,Completa,Costa,Costa Norte,7.6000000000000005,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,40.0,00,UNIDAD,24.0,0.5,0.0,00,,,,,40.0,00,0.0,00,
2022.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00050,00053,6,Completa,Costa,Costa Norte,6.35,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,25.0,00,UNIDAD,24.0,0.5,10.0,00,7.0,00,70.0,14.0,15.0,00,0.0,00,
2022.0,20,PIURA,06,SULLANA,03,IGNACIO ESCUDERO,00123,00049,3,Completa,Costa,Costa Norte,146.06926406926405,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,168.0,00,KILOGRAMO,12.0,1.0,150.0,00,10.0,00,1500.0,10.0,18.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00026,5,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,105.0,00,UNIDAD,24.0,0.35,0.0,00,,,,,100.0,00,5.0,00,
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00029,6,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,40.0,00,KILOGRAMO,12.0,1.0,10.0,00,20.0,00,200.0,20.0,30.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00051,8,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,45.0,00,MOLDE,41.0,0.45,5.0,00,8.0,00,40.0,17.7778,40.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00058,11,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,50.0,00,KILOGRAMO,12.0,1.0,25.0,00,20.0,00,500.0,20.0,25.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00071,13,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,70.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,70.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00075,14,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,75.0,00,MOLDE,41.0,0.45,0.0,00,,,,,70.0,00,5.0,00,
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00080,15,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,71.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,71.0,00,0.0,00,
