ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1228_N,P1228_NOM,P1228_TIPO,P1229,OMICAP1200_EQUIPO
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00030,2,Completa,Costa,Costa Norte,20.818181818181817,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Propia?,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00083,7,Completa,Costa,Costa Norte,20.818181818181817,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,Pase,1.0,MOTOR,Maquinaria,Propia?,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00008,2,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,MOTOBOMBA,Equipo,Propia?,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00041,3,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,MOTOBOMBA,Equipo,Propia?,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00080,8,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00082,9,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00095,10,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,MOTOBOMBA,Equipo,"Propio, de la organización?",
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,MOTOBOMBA,Equipo,Propia?,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00112,13,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00116,14,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
